STD_YYYYMM,SIDO,비염환자(질병),아토피환자(질병),천식환자(질병),평균기온(기후),상대습도(기후),증기압(기후),최고기온(기후),최저기온(기후),풍속(기후),미세먼지,미세먼지(농도),미세먼지(농도80),초미세먼지,초미세먼지(농도),초미세먼지(농도35),아황산가스,아황산가스(농도0.05),아황산가스(농도),이산화질소,이산화질소(농도0.06),이산화질소(농도0.03),이산화질소(농도),일산화탄소,일산화탄소(농도9),일산화탄소(농도),차량수,구리(중금속),구리(농도),납(중금속),납(농도0.5),납(농도),니켈(중금속),니켈(농도),망간(중금속),망간(농도),비소(중금속),비소(농도),철(중금속),철(농도),카드뮴(중금속),카드뮴(농도),크롬(중금속),크롬(농도),비염환자(질병)_코로나증감폭,아토피환자(질병)_코로나증감폭,천식환자(질병)_코로나증감폭,평균기온(기후)_코로나증감폭,상대습도(기후)_코로나증감폭,증기압(기후)_코로나증감폭,최고기온(기후)_코로나증감폭,최저기온(기후)_코로나증감폭,풍속(기후)_코로나증감폭,미세먼지_코로나증감폭,초미세먼지_코로나증감폭,아황산가스_코로나증감폭,이산화질소_코로나증감폭,일산화탄소_코로나증감폭,구리(중금속)_코로나증감폭,납(중금속)_코로나증감폭,니켈(중금속)_코로나증감폭,망간(중금속)_코로나증감폭,비소(중금속)_코로나증감폭,철(중금속)_코로나증감폭,카드뮴(중금속)_코로나증감폭,크롬(중금속)_코로나증감폭
201609,서울특별시,441210,28162,49637,23.1,65.0,18.0,27.9,19.3,2.0,37.0,좋음,좋음,23.0,나쁨,좋음,0.004,좋음,좋음,0.026,좋음,좋음,나쁨,0.5,좋음,나쁨,3080627.0,0.0347,나쁨,0.0325,좋음,나쁨,0.0061,나쁨,0.0299,좋음,0.0057,나쁨,0.8326,나쁨,0.0013,나쁨,0.0043,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201610,서울특별시,433468,26873,53082,16.1,62.0,11.7,21.3,11.6,2.1,38.0,좋음,좋음,20.0,좋음,좋음,0.004,좋음,좋음,0.029,좋음,좋음,나쁨,0.5,좋음,나쁨,3083269.0,0.0494,나쁨,0.0319,좋음,나쁨,0.0028,좋음,0.0374,나쁨,0.0085,나쁨,1.2272,나쁨,0.0016,나쁨,0.0051,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201611,서울특별시,443939,26689,59096,6.8,57.0,6.2,11.6,2.8,2.2,52.0,나쁨,좋음,28.0,나쁨,좋음,0.005,좋음,나쁨,0.035,좋음,나쁨,나쁨,0.6,좋음,나쁨,3084245.0,0.0267,나쁨,0.0197,좋음,좋음,0.0019,좋음,0.0234,좋음,0.0038,좋음,0.7242,나쁨,0.0008,좋음,0.0025,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201612,서울특별시,575147,25528,71706,1.2,59.0,4.2,5.8,-2.7,2.2,48.0,나쁨,좋음,30.0,나쁨,좋음,0.005,좋음,나쁨,0.036,좋음,나쁨,나쁨,0.7,좋음,나쁨,3083007.0,0.0273,나쁨,0.0279,좋음,나쁨,0.0021,좋음,0.0248,좋음,0.0062,나쁨,0.6161,나쁨,0.0012,나쁨,0.0034,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201701,서울특별시,328801,26138,44796,-1.8,55.0,3.2,2.9,-5.8,2.3,53.0,나쁨,좋음,32.0,나쁨,좋음,0.005,좋음,나쁨,0.035,좋음,나쁨,나쁨,0.7,좋음,나쁨,3091903.0,0.0183,나쁨,0.0211,좋음,좋음,0.0018,좋음,0.0223,좋음,0.0075,나쁨,0.5207,좋음,0.0009,나쁨,0.003,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201702,서울특별시,338953,26782,42687,-0.2,54.0,3.3,4.8,-4.7,2.4,46.0,나쁨,좋음,28.0,나쁨,좋음,0.005,좋음,나쁨,0.035,좋음,나쁨,나쁨,0.6,좋음,나쁨,3093930.0,0.0152,좋음,0.0203,좋음,좋음,0.0013,좋음,0.0235,좋음,0.0061,나쁨,0.4527,좋음,0.0008,좋음,0.003,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201703,서울특별시,479454,29652,54148,6.3,48.0,4.5,12.3,1.7,2.4,60.0,나쁨,좋음,39.0,나쁨,나쁨,0.005,좋음,나쁨,0.038,좋음,나쁨,나쁨,0.6,좋음,나쁨,3095613.0,0.0199,나쁨,0.0193,좋음,좋음,0.0025,좋음,0.0232,좋음,0.0038,좋음,0.7598,나쁨,0.0006,좋음,0.0024,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201704,서울특별시,459368,28727,54333,13.9,52.0,8.0,20.0,9.1,2.6,56.0,나쁨,좋음,26.0,나쁨,좋음,0.005,좋음,나쁨,0.031,좋음,나쁨,나쁨,0.5,좋음,나쁨,3099256.0,0.0301,나쁨,0.0215,좋음,좋음,0.0045,나쁨,0.0408,나쁨,0.0061,나쁨,1.0742,나쁨,0.0008,좋음,0.0035,좋음,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201705,서울특별시,342995,33948,46305,19.5,52.0,11.4,25.4,14.4,2.4,63.0,나쁨,좋음,24.0,나쁨,좋음,0.005,좋음,나쁨,0.028,좋음,좋음,나쁨,0.4,좋음,좋음,3103357.0,0.0378,나쁨,0.0367,좋음,나쁨,0.0088,나쁨,0.064,나쁨,0.0077,나쁨,1.7115,나쁨,0.0012,나쁨,0.0054,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
201706,서울특별시,259785,31217,35461,23.3,57.0,15.7,28.8,18.7,2.4,41.0,좋음,좋음,22.0,나쁨,좋음,0.004,좋음,좋음,0.024,좋음,좋음,나쁨,0.4,좋음,좋음,3107935.0,0.0303,나쁨,0.0224,좋음,나쁨,0.0073,나쁨,0.0271,좋음,0.0052,나쁨,0.5425,좋음,0.0007,좋음,0.0037,나쁨,-44,5,-57,1,10,10,-1,3,7,-15,-16,-34,-20,-9,-9,-11,-37,-7,29,-5,-35,8
