STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM,AVG_PM2.5
201506,대구광역시,1,0,74,60713,28.0
201507,대구광역시,1,0,163,56655,20.0
201508,대구광역시,1,0,192,70712,
201509,대구광역시,1,0,234,143010,15.0
201510,대구광역시,1,0,203,118302,25.0
201511,대구광역시,1,0,120,107570,22.0
201512,대구광역시,1,0,149,128145,31.0
201601,대구광역시,1,0,151,121534,30.0
201602,대구광역시,1,0,182,127856,25.0
201603,대구광역시,1,0,209,121750,29.0
201604,대구광역시,1,0,140,113104,25.0
201605,대구광역시,1,0,156,85983,26.0
201606,대구광역시,1,0,114,65506,24.0
201607,대구광역시,1,0,120,66433,19.0
201608,대구광역시,1,0,165,76073,17.0
201609,대구광역시,1,0,222,124248,20.0
201610,대구광역시,1,0,227,130928,20.0
201611,대구광역시,1,0,183,122060,31.0
201612,대구광역시,1,0,127,148080,28.0
201701,대구광역시,1,0,117,93746,29.0
201702,대구광역시,1,0,176,96353,24.0
201703,대구광역시,1,0,204,128204,28.0
201704,대구광역시,1,0,177,131056,21.0
201705,대구광역시,1,0,135,91329,23.0
201706,대구광역시,1,0,144,69220,21.0
201707,대구광역시,1,0,125,63854,19.0
201708,대구광역시,1,0,147,82385,12.0
201709,대구광역시,1,0,204,135516,
201710,대구광역시,1,0,175,105121,
201711,대구광역시,1,0,188,137352,29.0
201712,대구광역시,1,0,137,159358,29.0
201801,대구광역시,1,0,136,144913,30.0
201802,대구광역시,1,0,150,92805,28.0
201803,대구광역시,1,0,219,121794,26.0
201804,대구광역시,1,0,180,135007,24.0
201805,대구광역시,1,0,106,89131,21.0
201806,대구광역시,1,0,116,68308,22.0
201807,대구광역시,1,0,101,63061,18.0
201808,대구광역시,1,0,130,65433,12.0
201809,대구광역시,1,0,229,134314,12.0
201810,대구광역시,1,0,221,131002,17.0
201811,대구광역시,1,0,180,131100,31.0
201812,대구광역시,1,0,103,143524,26.0
201901,대구광역시,1,0,89,98536,33.0
201902,대구광역시,1,0,143,83166,33.0
201903,대구광역시,1,0,217,122822,33.0
201904,대구광역시,1,0,163,136253,19.0
201905,대구광역시,1,0,164,94446,23.0
201906,대구광역시,1,0,98,62130,20.0
201907,대구광역시,1,0,109,70272,16.0
201908,대구광역시,1,0,129,68116,16.0
201909,대구광역시,1,0,187,123851,13.0
201910,대구광역시,1,0,179,126757,14.0
201911,대구광역시,1,0,137,124706,21.0
201912,대구광역시,1,0,123,137717,29.0
202001,대구광역시,1,0,87,124316,26.0
202002,대구광역시,1,0,66,71004,26.0
202003,대구광역시,1,0,32,39177,20.0
202004,대구광역시,1,0,63,43608,18.0
202005,대구광역시,1,0,123,44317,20.0
202006,대구광역시,1,0,249,51892,20.0
202007,대구광역시,1,0,151,55481,14.0
202008,대구광역시,1,0,85,43875,16.0
202009,대구광역시,1,0,128,80474,15.0
202010,대구광역시,1,0,273,87445,18.0
202011,대구광역시,1,0,153,71270,23.0
202012,대구광역시,1,0,95,52649,24.0
202101,대구광역시,1,0,52,35747,21.0
202102,대구광역시,1,0,135,41532,24.0
202103,대구광역시,1,0,338,81129,23.0
202104,대구광역시,1,0,169,98425,17.0
202105,대구광역시,1,0,88,51546,18.0
202106,대구광역시,1,0,90,43754,20.0
202107,대구광역시,1,0,121,41890,10.0
202108,대구광역시,1,0,141,46539,11.0
202109,대구광역시,1,0,223,84660,9.0
202110,대구광역시,1,0,210,86024,15.0
202111,대구광역시,1,0,161,101131,22.0
202112,대구광역시,1,0,116,61273,22.0
202201,대구광역시,1,0,154,64365,24.0
202202,대구광역시,1,0,91,87709,21.0
202203,대구광역시,1,0,150,123031,22.0
202204,대구광역시,1,0,287,103280,17.0
202205,대구광역시,1,0,181,57930,17.0
202206,대구광역시,1,0,135,56722,12.0
202207,대구광역시,1,0,129,66500,12.0
202208,대구광역시,1,0,90,79832,9.0
202209,대구광역시,1,0,150,91363,9.0
202210,대구광역시,1,0,184,96446,12.0
202211,대구광역시,1,0,115,102670,23.0
202212,대구광역시,1,0,85,108462,20.0
201501,인천광역시,1,0,219,120861,31.0
201502,인천광역시,1,0,229,126290,33.0
201503,인천광역시,1,0,336,158818,31.0
201504,인천광역시,1,0,307,134782,30.0
201505,인천광역시,1,0,245,106502,28.0
201506,인천광역시,1,0,169,74770,26.0
201507,인천광역시,1,0,247,72888,23.0
201508,인천광역시,1,0,248,96541,27.0
201509,인천광역시,1,0,360,168547,21.0
201510,인천광역시,1,0,301,142920,31.0
201511,인천광역시,1,0,311,146243,31.0
201512,인천광역시,1,0,321,170841,38.0
201601,인천광역시,1,0,267,138702,29.0
201602,인천광역시,1,0,358,138064,25.0
201603,인천광역시,1,0,370,154228,35.0
201604,인천광역시,1,0,262,136185,31.0
201605,인천광역시,1,0,271,113232,29.0
201606,인천광역시,1,0,184,86491,25.0
201607,인천광역시,1,0,219,84807,19.0
201608,인천광역시,1,0,242,104678,20.0
201609,인천광역시,1,0,271,151358,25.0
201610,인천광역시,1,0,293,155604,21.0
201611,인천광역시,1,0,304,157997,29.0
201612,인천광역시,1,0,253,200654,29.0
201701,인천광역시,1,0,177,109740,31.0
201702,인천광역시,1,0,289,115955,26.0
201703,인천광역시,1,0,356,166337,37.0
201704,인천광역시,1,0,259,147978,27.0
201705,인천광역시,1,0,239,118252,27.0
201706,인천광역시,1,0,207,89939,24.0
201707,인천광역시,1,0,203,85052,
201708,인천광역시,1,0,211,118521,15.0
201709,인천광역시,1,0,303,171235,22.0
201710,인천광역시,1,0,255,134024,17.0
201711,인천광역시,1,0,247,174229,23.0
201712,인천광역시,1,0,213,199300,28.0
201801,인천광역시,1,0,167,176522,29.0
201802,인천광역시,1,0,189,107903,27.0
201803,인천광역시,1,0,316,144845,32.0
201804,인천광역시,1,0,287,149266,24.0
201805,인천광역시,1,0,217,120806,21.0
201806,인천광역시,1,0,178,89246,22.0
201807,인천광역시,1,0,265,81362,16.0
201808,인천광역시,1,0,202,86978,12.0
201809,인천광역시,1,0,395,173064,15.0
201810,인천광역시,1,0,336,166677,16.0
201811,인천광역시,1,0,265,165787,29.0
201812,인천광역시,1,0,218,175485,24.0
201901,인천광역시,1,0,178,120509,33.0
201902,인천광역시,1,0,262,104738,31.0
201903,인천광역시,1,0,404,157805,41.0
201904,인천광역시,1,0,320,162822,20.0
201905,인천광역시,1,0,285,128620,26.0
201906,인천광역시,1,0,208,85478,17.0
