STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
200706,41,1,0,510,203770
200706,42,1,0,178,23255
200706,43,1,0,154,22111
200706,44,1,0,442,28823
200706,45,1,0,376,27566
200706,46,1,0,458,30111
200706,47,1,0,414,39361
200706,48,1,0,524,52616
200706,50,1,0,815,12427
200707,11,1,0,101,159818
200707,26,1,0,30,54845
200707,27,1,0,50,40306
200707,28,1,0,115,47521
200707,29,1,0,97,23627
200707,30,1,0,276,24704
200707,31,1,0,207,19554
200707,36,1,0,130,1670
200707,41,1,0,454,204262
200707,42,1,0,155,22425
200707,43,1,0,133,22529
200707,44,1,0,378,28909
200707,45,1,0,290,26835
200707,46,1,0,300,29517
200707,47,1,0,330,40138
200707,48,1,0,455,55221
200707,50,1,0,514,11109
200708,11,1,0,132,168757
200708,26,1,0,29,50998
200708,27,1,0,47,39302
200708,28,1,0,105,49473
200708,29,1,0,90,23074
200708,30,1,0,268,26188
200708,31,1,0,209,17665
200708,36,1,0,189,1665
200708,41,1,0,418,219494
200708,42,1,0,160,24208
200708,43,1,0,126,24120
200708,44,1,0,313,28850
200708,45,1,0,278,27605
200708,46,1,0,340,29282
200708,47,1,0,357,39204
200708,48,1,0,407,51133
200708,50,1,0,544,9478
200709,11,1,0,223,359518
200709,26,1,0,37,105845
200709,27,1,0,104,93513
200709,28,1,0,169,109205
200709,29,1,0,164,60095
200709,30,1,0,429,61155
200709,31,1,0,369,40206
200709,36,1,0,262,3751
200709,41,1,0,753,489101
200709,42,1,0,235,49961
200709,43,1,0,220,55102
200709,44,1,0,629,66552
200709,45,1,0,550,62722
200709,46,1,0,629,66912
200709,47,1,0,617,87924
200709,48,1,0,684,118651
200709,50,1,0,1003,18456
200710,11,1,0,251,330179
200710,26,1,0,55,120419
200710,27,1,0,104,86698
200710,28,1,0,203,98924
200710,29,1,0,190,53397
200710,30,1,0,470,53892
200710,31,1,0,377,38554
200710,36,1,0,253,3549
200710,41,1,0,804,418033
200710,42,1,0,276,45010
200710,43,1,0,243,46560
200710,44,1,0,622,57212
200710,45,1,0,596,59027
200710,46,1,0,684,64714
200710,47,1,0,666,84744
200710,48,1,0,676,115025
200710,50,1,0,1345,25455
200711,11,1,0,197,335061
200711,26,1,0,40,123341
200711,27,1,0,96,86972
200711,28,1,0,136,98367
200711,29,1,0,164,49812
200711,30,1,0,352,53032
200711,31,1,0,383,41426
200711,36,1,0,220,3417
200711,41,1,0,678,411163
200711,42,1,0,242,42975
200711,43,1,0,165,46008
200711,44,1,0,534,55349
200711,45,1,0,443,56325
200711,46,1,0,705,65452
200711,47,1,0,561,86351
200711,48,1,0,590,117177
200711,50,1,0,1069,23371
200712,11,1,0,150,368266
200712,26,1,0,45,133260
