SIDO,STD_YYYYMM,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수
세종특별자치시,201505,48.744,N,N,27.2746,N,N,0.0057,N,N,0.0194,N,N,N,0.4158,N,N,79604.0
경기도,201505,52.13,Y,N,23.62,Y,N,0.005,N,Y,0.025,N,N,Y,0.419,N,N,4781194.0
경상남도,201505,52.42,Y,N,27.62,Y,N,0.005,N,Y,0.017,N,N,N,0.414,N,N,1534081.0
충청북도,201505,49.75,Y,N,32.0,Y,N,0.004,N,N,0.019,N,N,Y,0.425,N,N,712730.0
충청남도,201505,46.5,Y,N,27.2746,N,N,0.005,N,Y,0.015,N,N,N,0.375,N,N,943915.0
전라북도,201505,49.43,Y,N,36.33,Y,Y,0.004,N,N,0.011,N,N,N,0.371,N,N,821543.0
전라남도,201505,42.0,Y,N,23.0,Y,N,0.006,N,Y,0.015,N,N,N,0.5,N,Y,865105.0
경상북도,201505,48.43,Y,N,27.2746,N,N,0.006,N,Y,0.016,N,N,N,0.433,N,N,1276940.0
제주특별자치도,201505,42.5,Y,N,22.0,Y,N,0.006,N,Y,0.009,N,N,N,0.3,N,N,406729.0
서울특별시,201506,35.0,N,N,20.0,N,N,0.005,N,Y,0.025,N,N,Y,0.4,N,N,3031607.0
부산광역시,201506,49.0,Y,N,30.0,Y,N,0.008,N,Y,0.019,N,N,Y,0.3,N,N,1235695.0
대구광역시,201506,47.0,Y,N,28.0,Y,N,0.003,N,N,0.016,N,N,N,0.4,N,N,1090566.0
인천광역시,201506,42.0,Y,N,26.0,Y,N,0.006,N,Y,0.022,N,N,Y,0.5,N,Y,1299035.0
광주광역시,201506,41.0,N,N,27.0,Y,N,0.003,N,N,0.014,N,N,N,0.5,N,Y,601616.0
대전광역시,201506,40.0,N,N,27.0,Y,N,0.003,N,N,0.014,N,N,N,0.4,N,N,626472.0
울산광역시,201506,50.0,Y,N,30.0,Y,N,0.01,N,Y,0.023,N,N,Y,0.5,N,Y,515210.0
세종특별자치시,201506,42.842,N,N,27.7173,N,N,0.0047,N,N,0.0163,N,N,N,0.4132,N,N,81055.0
경기도,201506,40.42,N,N,20.14,N,N,0.004,N,N,0.021,N,N,Y,0.403,N,N,4798729.0
경상남도,201506,45.83,Y,N,30.12,Y,N,0.005,N,Y,0.015,N,N,N,0.414,N,N,1538501.0
충청북도,201506,38.25,N,N,27.0,Y,N,0.002,N,N,0.017,N,N,N,0.4,N,N,716042.0
충청남도,201506,41.0,N,N,30.0,Y,N,0.004,N,N,0.015,N,N,N,0.4,N,N,947597.0
전라북도,201506,47.57,Y,N,38.67,Y,Y,0.003,N,N,0.009,N,N,N,0.371,N,N,823957.0
전라남도,201506,42.2,Y,N,26.83,Y,N,0.006,N,Y,0.014,N,N,N,0.46,N,N,869432.0
경상북도,201506,42.86,Y,N,30.0,Y,N,0.005,N,Y,0.014,N,N,N,0.45,N,N,1281444.0
제주특별자치도,201506,40.5,N,N,25.0,Y,N,0.004,N,N,0.007,N,N,N,0.3,N,N,410468.0
서울특별시,201507,30.0,N,N,19.0,N,N,0.005,N,Y,0.021,N,N,Y,0.4,N,N,3035979.0
부산광역시,201507,33.5382,N,N,21.0,N,N,0.0041,N,N,0.016,N,N,N,0.3715,N,N,1239802.0
대구광역시,201507,34.0,N,N,20.0,N,N,0.003,N,N,0.014,N,N,N,0.3,N,N,1093000.0
인천광역시,201507,33.5382,N,N,23.0,Y,N,0.005,N,Y,0.018,N,N,N,0.4,N,N,1309894.0
광주광역시,201507,33.5382,N,N,22.0,Y,N,0.003,N,N,0.011,N,N,N,0.4,N,N,603580.0
대전광역시,201507,33.5382,N,N,19.0,N,N,0.002,N,N,0.011,N,N,N,0.3,N,N,627486.0
울산광역시,201507,38.0,N,N,22.0,Y,N,0.009,N,Y,0.018,N,N,N,0.5,N,Y,517019.0
세종특별자치시,201507,33.5382,N,N,21.3413,N,N,0.0041,N,N,0.0133,N,N,N,0.3715,N,N,83056.0
경기도,201507,34.52,N,N,18.29,N,N,0.004,N,N,0.017,N,N,N,0.36,N,N,4815936.0
경상남도,201507,35.33,N,N,23.5,Y,N,0.005,N,Y,0.013,N,N,N,0.414,N,N,1540692.0
충청북도,201507,29.33,N,N,17.0,N,N,0.002,N,N,0.012,N,N,N,0.3,N,N,718337.0
충청남도,201507,28.5,N,N,22.0,Y,N,0.003,N,N,0.011,N,N,N,0.35,N,N,951247.0
전라북도,201507,34.71,N,N,28.0,Y,N,0.003,N,N,0.008,N,N,N,0.357,N,N,826391.0
전라남도,201507,39.67,N,N,22.33,Y,N,0.005,N,Y,0.01,N,N,N,0.42,N,N,874782.0
경상북도,201507,31.86,N,N,21.0,N,N,0.004,N,N,0.012,N,N,N,0.4,N,N,1286015.0
