"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"덕천동","Cr","","","","","","","","",".0045",".0007",".0004",".0029",".0009",".0016",".0001",".0015",".0032",".0044",".0015",".0015",".0013",".0006",".0003",".0021",".0022",".0015",".0027",".0017",".0006",".0028",".0029",".0002",".0015",".001",".0011",".0004",".0006",".0013",".0015",".0019",".0017",".0027",".0026",".0025",".0014",".0016",".0011",".0009",".0037",".0016",".0016",".0015",".002",".0029",".0018",".0046",".0005",".0007",".0015",".0031",".0016",".001",".0016",".0024",".003",".0019",".0022","","",".0012",".0014","","","","","",".0014",".003",".0007",".0039",".0008",".0016",".0016",".003",".0031",".0017",".0022",".0016",".0022",".0022",".0017",".0009",".0018",".002",".0038",".0024",".0031",".0031",".0039",".0018",".0005",".0011",".0028",".0024",".0008",".0014",".0014",".0016",".0027",".0021",".0017",".0032",".0021",".0021",".0008",".002",".0026","N.D.",".0005",".0038",".003",".0024",".00014",
"전포동","Cr","",".0065",".0105",".0041",".0015",".0036",".0018",".0046",".0042",".0006",".0007",".0038",".0016",".0031",".0004",".0017",".0035",".0045",".0022",".0023",".0079",".0014",".0016",".0047",".004",".0054",".0035",".0016",".0008",".0018",".0032",".0002",".0034",".0014",".004",".0012",".0029",".003",".0019",".0031",".0017",".0015",".0019",".0024",".0017",".0034",".002",".002",".0066",".002",".0027",".0019",".0023",".0025",".0018",".0029",".0015",".0013",".0023",".0035",".0036",".0027",".0018",".0016",".0029",".001",".0039",".0029",".0009",".0014",".0013",".0035",".0021",".0048",".0027",".0028",".0016",".003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"연산동","Cr","",".0053",".0032",".0047",".0007",".0035",".0021",".0034",".0048",".001",".0008",".0023",".0009",".002",".0002",".0013",".0022",".0038",".0011",".0016",".001",".0011",".0008",".0036",".0022",".0028",".0038",".0018",".0009",".002",".0025",".0002",".0018",".0006",".0016",".0006",".0011",".0014",".0017",".0024",".0016",".0014",".0014",".0019",".0013",".0022",".0015",".0012",".0041",".0014",".0015",".0013",".0019",".0026",".0014",".0029",".0019",".001",".0019",".0039",".0026","","","",".0029",".0024","",".0026",".0014",".0013",".0013",".0026",".0016",".0042",".0024",".0025",".0014",".0027",".0011",".0041",".0008",".0014",".0022",".0027",".0048",".0023",".0038",".0018",".0019",".002",".0014",".0012",".0013",".0018",".0019",".0025",".0052",".0044",".0027",".002",".0009",".0011",".0024",".002",".0008",".0011",".0019",".0023",".0035",".0029",".0023",".0041",".0016",".0016",".0005",".0019",".002","N.D.",".0007",".0067",".0041",".00556",".00076",
"부곡동","Cr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".003",".0029",".0015",".002",".0015",".0021",".0018",".001",".001",".0015",".0016",".0017",".0017",".0025",".0023",".0021",".0015",".0005",".0013",".0022",".0013",".0007",".0011",".0013",".0015",".0023",".0015",".0018",".0024",".0011",".0014",".0004",".001",".0016",".0001",".0011",".0041",".0024",".00274",".00044",
"광안동","Cr","","","","","","","","",".0022",".0003",".0001",".0015",".0005",".0013","N.D.",".0005",".0016",".0024",".0008",".0009",".0005",".0006",".0002",".0025",".0018",".0008",".0015",".0008",".0005",".0011",".0016","N.D.",".0013",".0002",".0009",".0003",".0003",".0012",".0013",".0014",".0012",".0008",".001",".0015",".0012",".0017",".0009",".0008",".0026",".0009",".001",".0012",".0015","","",".002",".0004",".0006",".0015",".0023",".002",".0014",".0014",".0008",".0022",".0011",".0036",".0015",".0005",".001",".001",".002",".0014",".0028",".0015",".0018",".0012",".0022",".0012",".002",".0007",".0007",".0005",".0022",".0021",".0018",".0021",".0011",".0013",".0017",".0008",".0011",".0005",".0011",".0016",".0017",".0033",".0021",".0022",".0011",".0002",".001",".0015",".0013",".0004",".0007",".0011",".0015",".0021",".0015",".0018",".0024",".0009",".001",".0002",".0011",".0008","N.D.",".0001",".0038",".0024",".00088",".0002",
"수창동","Cr","",".0033",".0011",".011",".0024",".0051",".0027",".0037",".0037",".0041",".0021",".0042",".0031",".0046",".0014",".0041",".0048",".0035",".0026",".0021",".0019",".0011",".0018",".006",".0031",".0057",".0023",".002",".0022",".0057",".0031",".0034",".0024",".0031",".0059",".0022",".0069",".0027",".0025",".0026",".0053",".0054",".0033",".0025",".0029",".002",".0037",".005",".0067",".0023",".0035",".0027",".0038",".0036",".0014",".0062","N.D.",".0046",".0058",".0056",".0046",".0059",".0038",".0036",".0035",".0023",".0036",".0019",".0022",".0026",".0043",".0048",".0049",".0039",".0038",".0033",".0015",".0032",".0038",".0032",".0021",".003",".0031",".0044",".0085",".0032",".0034",".0038",".003",".0029",".0037",".0028",".0009",".0165",".0053",".0049",".0053",".0058",".0034",".003",".0022",".004",".0035",".0021",".0019",".0032",".003",".0026",".0102",".0031",".0044",".006","-","-","-","-",".0042",".0068","-",".0101",".0077",".00306",".00684",
"이현동","Cr","",".0024",".0024",".007",".0023",".0049",".0036",".0044",".0027",".0029",".0019",".0045",".0026",".0039",".0017",".0032",".0048",".0034",".002",".0025",".0024",".0016",".0033",".005",".0027",".0096",".0027",".0021",".0019",".0054",".0032",".0034",".0019",".0019",".0045",".0017",".0049",".0022",".0028",".0021",".0045",".0038",".0025",".0023",".0015",".0031",".0025",".003",".0051",".0022",".0022",".0016",".0034",".0025",".0012",".0058",".0015",".0028",".0036",".0043",".0031",".0042",".0034",".0038",".0027",".0007",".0039",".002",".0019",".005",".0043",".0053",".0028",".0049",".0023",".0034",".0011",".0023",".0029",".0016",".0016",".002",".0027",".0046",".0051",".0023",".0022",".0027",".0021",".0041",".0028",".0027",".001",".0039",".0028",".0028",".0045",".0055",".0024",".0028",".0028",".0029","-",".0016",".0007",".0013",".001",".0009",".0031",".0018",".0016",".0024",".0033",".0003",".0022","N.D.",".0062",".0023",".0024",".017",".0058",".0005",".0045",
"대명동","Cr","",".0029",".0019",".0085",".0026",".0039",".0039",".0018",".0027",".0019",".0015",".0039",".0023",".0034",".0013",".0032",".0046",".002",".0016",".0024",".0023",".0015",".0022",".0055",".0038",".0035",".003",".0028",".001",".004",".0027",".0021",".0016",".0017",".0041",".0011",".0037",".0024",".0018",".0018",".0052",".0037",".0026",".0015",".0018",".0019",".0016",".0025",".0046",".0015",".003",".002",".0027",".0026",".0008",".0029",".0004",".0023",".0036",".0045",".0028",".0035",".0031",".0034",".0019",".0018",".0032",".0022",".0026",".0028",".0032",".0043",".0024",".0032",".0023",".0035",".0021",".0023",".0029",".0028",".0011",".0012",".0031",".0041",".0059",".0021",".0018",".0024",".0023",".0017",".0027",".0025",".0008",".0064",".0017",".0025",".004",".0044",".0026",".0027",".0028",".003",".0028",".0012","N.D.",".0019",".002",".0015",".001",".0029",".0019",".002",".0029",".0002",".002",".0004",".0025",".0011",".0033",".0129",".0051",".00232",".00376",
"지산동","Cr","",".0023",".0013",".0048",".0009",".0028",".0025",".0013",".0014",".0017",".0009",".0018",".0013",".0017",".0003",".0022",".003",".0014",".0014",".0013",".0009",".001",".0011",".0027",".002",".0026",".0014",".002",".0012",".0028",".0019",".0018",".0012",".0008",".0025",".001",".0026",".0016",".001",".0017",".0021",".0018",".0017",".0016",".0013",".0013",".0009",".0016",".0027",".0013",".0015",".0011",".0014",".0014",".0003",".003","N.D.",".0015",".0033",".0025",".002",".0026",".0031","",".0023",".0007",".0026",".0013",".0014",".0008",".0024",".0032",".002",".0029",".002",".0028",".0015",".002",".0022",".0013",".0018","N.D.",".0013",".0024",".0033",".002",".0016",".0009",".0014",".0007",".0021",".0022","N.D.",".0074",".0012",".0013",".003",".0034",".0016",".0014",".0007",".0024",".0014",".0004",".0004",".0012",".0018",".0015",".0169",".0008",".0008",".0012",".0016",".0002",".0013",".001",".0035",".0028",".0008",".0065",".0036","N.D.",".00316",
"달성산단","Cr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0012","N.D.",".00292",
