"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"연희","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1958",".3297",".2714",".5462",".5649",".2166",".1814",".1573",".2565",".1172",".2718",".3523",".2351",".1945",".1695",".3807",".3031",".2473",".0854",".1105",".102",".205",".3275",".3546",".2172",".274",".2999",".2536",".3603",".2628",".1636",".056",".0538",".1749",".2142",".2066",".1942",".3076",".3408",".8479",".5269",".5468",".174",".1026",".1155",".3908",".2961",".2531",".5884",".182",".2506",".491",".6005",".3299",".1048",".1002",".0533",".0944",".109",".2645",".2111",".1831",".3368",".1447",".3235",".1705",".1023",".0531",".1074",".0783",".1052",".1433",".4142",".1087",
"고잔","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2613",".3022",".3462",".6024",".5635",".4323",".365",".1999",".6396",".1716",".3733",".327",".3298",".2215",".1847",".4931",".3871",".2865",".1004",".1875",".1517",".3519",".4482",".3716",".2229",".3185",".2213",".1964",".5729",".1623",".2086",".0906",".1252",".193",".259",".3063",".2618",".3598",".4166",".7844","1.0643",".5518",".2848",".114",".1674",".4852",".3718",".2593",".6148",".1861",".3574",".3161",".3608",".3431",".1181",".2456",".1194",".1138",".1187",".2204",".1297",".1641",".2887",".1735",".232",".1339",".1133",".0481",".1621",".1241",".1353",".1273",".51138",".21122",
"농성동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0946",".1653",".2689",".1669",".5474",".1204",".0147",".0774",".0385",".0272",".2158",".1539",".0764",".0897",".1284",".4438",".2271",".3078",".0573",".1452",".1175",".11",".1202",".1281",".145",".507",".3158",".2328",".4168",".1971",".0435",".0938",".0553",".1075",".1757",".1748",".0534",".0566",".1977",".1978",".1069",".2951",".0592",".0679",".0485",".1066",".1951",".1372",".306",".2274",".486",".2773",".2241",".1558",".0114",".0824",".0484",".0564",".0498",".1655",".1642",".1098",".1934",".1699",".2391",".0672",".0437",".0394",".0711",".1253",".2376",".2024",".44992",".24544",
"두암동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1009",".1685",".2283",".1348",".3503",".0728",".0226",".0606","","",".1657",".1054",".0279",".0663",".1121",".3395",".1433",".1819",".0373",".0464","",".0968",".0845",".1415",".1164",".4123",".2664",".171",".3661",".1322",".0257",".0719",".0507",".0923",".1808",".151",".0481",".0508",".2017",".2624",".1597",".2728","",".0448",".0398",".1032",".1773",".1194",".3336",".1665",".2045",".1728",".2356",".133",".0262",".0523",".0431",".0329",".0598",".1648",".0988",".1214",".3632",".2071",".2095",".0554",".0365",".0488",".1013",".0841",".1954",".1949",".39108",".19734",
"건국동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0804",".1584",".219",".1134",".4583",".0735",".0217",".0643",".03",".0166",".1639",".2919",".0748",".1021",".0918",".3542",".1459",".1848",".031",".0618",".0896",".0947",".0738",".1381",".1088",".4357",".2388",".1304",".2427",".1352",".0257",".0802",".0408",".0975",".1415",".1239",".0378",".041",".1785",".2135",".1211",".2457",".0461","","",".1646",".1467",".1062",".3276",".1505",".1917",".1599",".2276",".1359",".0086","-","-",".035",".0412",".168",".3078",".1956",".4287",".2995",".2449",".0757",".0454",".043",".0789","-",".1688",".1499",".30146",".15346",
"노대동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".1799",".1568",".2116",".3083",".1967",".2856",".0348",".0261",".0382",".1084",".1711",".0909",".2455",".1646",".1763",".1748",".2665",".1535",".0254",".1003",".0303",".0409",".0423",".1142",".1134",".1263",".3106",".2096",".2108",".0606",".0511",".0325",".0728",".0883",".1786",".1733",".33382",".21096",
"평동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0509",".0855",".2774",".3918",".2662",".3513",".0621","","","",".297",".1425",".2612",".1623",".2219",".2008",".3556",".2304",".0284",".0822",".0469",".0569",".0312",".1279",".0923",".1771",".3469",".2274",".3028",".1064",".0973",".117",".1265",".1319",".2847",".2487",".37864",".2955",
"서동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0764",".1582",".1995",".1315",".4595",".0754",".0086",".0563",".0334",".014",".1425",".0918",".0478",".0569",".0895",".3173",".1187",".149",".0268",".0577",".0848",".0843",".077",".1227",".1232",".4793",".2572",".1691",".3569",".1265",".0285",".0655",".0492",".094",".1755",".1677",".054",".0541",".2114",".2916",".1194",".25",".0409",".0252",".043",".1219",".205",".129",".2559",".2101",".2208",".1912",".2004",".1305",".0086",".0482",".0367",".05",".0385",".1352",".1944",".1453",".3309",".1479",".1561",".0491",".0302",".0223",".0693",".1543",".2025",".1893",".36436",".1857",
"읍내동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".5107",".6643",".56",".2944",".6064",".3332",".1536",".0921",".1495",".1477",".401",".3523",".3565",".3326",".1821",".8617",".4835",".2592",".0908",".1197",".1142",".1465",".2924",".2606",".2703",".5198",".4464",".3537",".4926",".2892",".1166",".1564",".036",".1628",".2516",".2919",".1392",".2804",".3816",".4658",".8831",".3648",".2288",".088",".1225",".2508",".5042",".5042",".5743",".2743",".2743",".4247",".2416",".2765",".0926",".212",".0825",".089",".1292",".3698",".4553",".3627",".5808",".1971",".2013",".1098",".086",".1239",".0969",".167",".2541",".3056",".36046",".267",
"문창동","Al","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3745",".5559",".3644",".2948",".5292",".2284",".0914",".0797",".1448",".1881",".3591",".3523",".3693",".2383",".1571",".8196",".339",".2678",".0666",".1103",".05",".0899",".1472",".2158",".2273",".2328",".3019",".2615",".4649",".1879",".1306",".1573",".0417",".1443",".2141",".1883",".0769",".2005",".3126",".4068",".8315",".289",".1295",".0554",".0868",".21",".3368",".3368",".461",".1965",".1965",".3055",".2821",".2638",".0685",".162",".0475",".0578",".0728",".2356",".2949",".2351",".4021",".1419",".3024",".0856",".06",".083",".1009",".0995",".1477","0.1928*",".25248",".18172",
