날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-12-11 09:00,신지면,도시대기,0.003,0.4,0.012,0.004,39,-
2023-12-11 09:00,진도읍,도시대기,0.003,0.6,0.053,0.004,33,19
2023-12-11 09:00,신안군,도시대기,0.003,0.2,0.044,0.004,33,23
2023-12-11 09:00,3공단,도시대기,0.002,0.3,0.042,0.008,28,17
2023-12-11 09:00,양덕동,도시대기,0.002,0.5,0.047,0.003,44,18
2023-12-11 09:00,보덕동,도시대기,0.003,0.2,0.039,0.004,12,8
2023-12-11 09:00,대광동,도시대기,0.002,0.6,0.008,0.023,77,44
2023-12-11 09:00,명륜동,도시대기,0.002,0.4,0.039,0.009,8,7
2023-12-11 09:00,4공단,도시대기,0.002,0.6,0.007,0.025,56,34
2023-12-11 09:00,가흥동,도시대기,0.002,0.5,0.019,0.018,33,21
2023-12-11 09:00,영천시,도시대기,0.002,0.4,0.030,0.014,11,9
2023-12-11 09:00,상주시,도시대기,0.003,0.2,0.025,0.007,23,18
2023-12-11 09:00,문경시,도시대기,0.003,0.2,0.028,0.012,10,9
2023-12-11 09:00,중방동,도시대기,0.004,0.6,0.007,0.010,48,33
2023-12-11 09:00,군위읍,도시대기,0.002,0.4,0.005,0.016,62,26
2023-12-11 09:00,안계면,도시대기,0.003,0.6,0.007,0.020,71,35
2023-12-11 09:00,청송읍,도시대기,0.001,0.3,0.036,0.004,34,32
2023-12-11 09:00,영양군,도시대기,0.002,0.3,0.036,0.005,12,5
2023-12-11 09:00,영덕읍,도시대기,0.002,0.3,0.046,0.004,27,9
2023-12-11 09:00,화양읍,도시대기,0.002,0.6,0.002,0.017,50,40
2023-12-11 09:00,대가야읍,도시대기,0.002,0.7,0.023,0.013,64,35
2023-12-11 09:00,성주군,도시대기,0.002,0.8,0.003,0.029,65,39
2023-12-11 09:00,칠곡군,도시대기,0.002,0.4,0.004,0.025,73,36
2023-12-11 09:00,예천군,도시대기,0.002,0.3,0.043,0.006,9,1
2023-12-11 09:00,봉화군청,도시대기,0.002,0.3,0.039,0.007,2,2
2023-12-11 09:00,울진군,도시대기,0.003,0.3,0.045,0.003,30,13
2023-12-11 09:00,울릉읍,도시대기,0.001,0.3,0.040,0.003,31,-
2023-12-11 09:00,명서동,도시대기,0.003,0.6,0.017,0.030,48,27
2023-12-11 09:00,사파동,도시대기,0.002,0.8,0.005,0.050,57,32
2023-12-11 09:00,월영동,도시대기,0.003,0.7,0.007,0.042,44,25
2023-12-11 09:00,내서읍,도시대기,0.002,0.8,0.011,0.030,45,27
2023-12-11 09:00,경화동,도시대기,0.002,0.4,0.045,0.007,25,19
2023-12-11 09:00,대안동,도시대기,0.001,0.9,0.032,0.013,63,30
2023-12-11 09:00,무전동,도시대기,0.003,0.6,0.029,0.018,41,28
2023-12-11 09:00,향촌동,도시대기,0.002,0.8,0.011,0.036,42,23
2023-12-11 09:00,동상동,도시대기,0.003,1.2,0.003,0.040,39,36
2023-12-11 09:00,내일동,도시대기,0.003,0.5,0.007,0.029,35,25
2023-12-11 09:00,고현동,도시대기,0.002,0.6,0.034,0.015,46,18
2023-12-11 09:00,물금읍,도시대기,0.002,0.6,0.005,0.033,16,10
2023-12-11 09:00,의령읍,도시대기,0.003,0.6,0.008,0.029,48,33
2023-12-11 09:00,가야읍,도시대기,0.002,0.5,0.007,0.016,54,38
2023-12-11 09:00,창녕읍,도시대기,0.003,0.5,0.012,0.027,50,28
