지역명,측정소명,측정소 주소,운영기관,설치년도
경기,장현동,경기도 시흥시 시청로 20 미래키움어린이집 옥상 (장현동),경기도보건환경연구원,2020
경기,장호원읍,경기 이천시 장호원읍 오남리 27 재래시장 공영주차장,경기도보건환경연구원,2018
경기,전곡,경기도 연천군 전곡읍 은전로 45 전곡읍행정복지센터,경기도보건환경연구원,2022
경기,정왕동,경기 시흥시 정왕대로 233번길 19 정왕보건지소,경기도보건환경연구원,1995
경기,정자동,경기 성남시 분당구 돌마로 242 정자3동행정복지센터,경기도보건환경연구원,1998
경기,주엽동,경기도 고양시 일산서구 주엽로 104 주엽어린이도서관 (주엽동),경기도보건환경연구원,2018
경기,죽산면,경기도 안성시 죽산면 남부길 60 동안성시민복지센터 옥상,경기도보건환경연구원,2020
경기,중2동,경기 부천시 심중로 121 책마루도서관,경기도보건환경연구원,1998
경기,중앙동(경기),경기 여주시 여흥로11번길 26 중앙동행정복지센터,경기도보건환경연구원,2010
경기,진접읍,경기도 남양주시 진접읍 금강로 1509-26 진접오남행정복지센터 옥상,경기도보건환경연구원,2020
경기,창전동,경기 이천시 영창로 163번길 28 평생학습관 어르신쉼터,경기도보건환경연구원,2003
경기,천천동,경기 수원시 장안구 서부로 2066 성균관대학교 제2공학관,경기도보건환경연구원,2003
경기,철산동,경기 광명시 시청로 20 광명시청 제1별관,경기도보건환경연구원,1986
경기,청계동,경기도 화성시 동탄순환대로22길 13 예솔초등학교 (청계동),경기도보건환경연구원,2018
경기,청북읍,경기도 평택시 청북읍 안청로2길 60 청북문화센터,경기도보건환경연구원,2019
경기,파주읍,경기도 파주시 파주읍 교육길 13 민방위교육장,경기도보건환경연구원,2019
경기,평택항,경기 평택시 포승읍 평택항로184번길 38 한국산업단지공단 평택지사,경기도보건환경연구원,2013
경기,한강신도시,경기 김포시 양촌읍 양곡2로30번길 46 김포독립운동기념관 옥상,경기도보건환경연구원,2019
경기,행신동,경기 고양시 덕양구 화신로 148 행신배수지 가라산공원,경기도보건환경연구원,1998
경기,향남읍,경기 화성시 향남읍 발안로 89 향남읍 행정복지센터,경기도보건환경연구원,2004
경기,호계동,경기도 안양시 동안구 경수대로 504 호계복합청사 옥상 (호계동),경기도보건환경연구원,1992
경기,호매실,경기도 수원시 권선구 칠보로1번길 62 경기도보건환경연구원 (금곡동),경기도보건환경연구원,2022
경기,호수동,경기 안산시 단원구 안산천남로 119 양지중학교,경기도보건환경연구원,2003
인천,고잔,인천 남동구 은봉로 82 인천지방중소벤처기업청옥상,인천광역시보건환경연구원,
인천,구월동,인천 남동구 구월말로 7(구월동) 구월4동 행정복지센터 옥상,인천광역시보건환경연구원,
인천,길상,인천 강화군 길상면 강화동로 15-1 길상면보건지소 2층,인천광역시보건환경연구원,2019
인천,논현,인천 남동구 청능대로611번길 54(논현동) 근린공원,인천광역시보건환경연구원,
인천,동춘,인천 연수구 원인재로 115(동춘동) 연수구의회 옥상,인천광역시보건환경연구원,
인천,부평,인천 부평구 부평대로88번길 19(부평동) 인천부평동초등학교 옥상,인천광역시보건환경연구원,
인천,삼산,인천 부평구 충선로 262 시냇물공원 (삼산동),인천광역시보건환경연구원,2019
인천,서창,인천광역시 남동구 서창남로 101 서창어울근린공원 지장 (서창동),인천광역시보건환경연구원,2020
인천,석남,인천 서구 거북로 116(석남동) 석남2동 행정복지센터 옥상,인천광역시보건환경연구원,
인천,송도,인천 연수구 갯벌로 12 테크노파크 3층 옥상,인천광역시보건환경연구원,
인천,송림,인천 동구 금곡로 67(송림동) 동구의회 옥상,인천광역시보건환경연구원,
인천,송해,인천 강화군 송해면 전망대로 29(솔정리) 송해면사무소 옥상,인천광역시보건환경연구원,
인천,숭의,인천 미추홀구 독정안길 26 용정초등학교,인천광역시보건환경연구원,
인천,신흥,인천 중구 서해대로 471(신흥동 2가) 인천보건환경연구원 옥상,인천광역시보건환경연구원,
인천,아암,인천광역시 연수구 센트럴로 350 송도달빛축제공원 지장 (송도동),인천광역시보건환경연구원,2020
인천,연희,인천 서구 심곡로 98(심곡동) 인천광역시 인재개발원 옥상,인천광역시보건환경연구원,
인천,영종,인천광역시 중구 하늘중앙로 132 영종하늘도서관 옥상 (중산동),인천광역시보건환경연구원,2020
인천,영흥,인천광역시 옹진군 영흥면 영흥로251번길 90 영흥 면사무소 2층 옥상 (영흥면사무소),인천광역시보건환경연구원,2019
인천,운서,인천 중구 영종대로 85(운서동) 영종도서관 옥상,인천광역시보건환경연구원,
인천,원당,인천 서구 고산후로121번길 7(원당동) 검단선사박물관 옥상,인천광역시보건환경연구원,
인천,주안,인천광역시 미추홀구 구월남로 27 주안도서관 옥상 (주안동),인천광역시보건환경연구원,2020
인천,효성,인천광역시 계양구 봉오대로600번길 14 효성도서관 (효성동),인천광역시보건환경연구원,2022
강원,금호동,강원특별자치도 속초시 중앙시장로 43 금호동주민센터 (중앙동),강원특별자치도보건환경연구원,2018
강원,남양동1,강원특별자치도 삼척시 남양길 11(남양동 331-9) 남양동주민센터 3층 옥상,강원특별자치도보건환경연구원,2006
강원,문막읍,강원특별자치도 원주시 문막읍 건등로 11 문막읍행정복지센터 부지내 지상,강원특별자치도보건환경연구원,2018
강원,반곡동(명륜동),"강원특별자치도 원주시 배울로 215 (반곡동 1816-2, 배울체육공원 지상) (반곡동)",강원특별자치도보건환경연구원,1992
강원,상리,강원특별자치도 고성군 간성읍 수성로 160 상리 측정소,강원특별자치도보건환경연구원,2018
강원,신사우동,강원특별자치도 춘천시 사우4길 26 신사우도서관 2층 옥상 (우두동),강원특별자치도보건환경연구원,2020
강원,양구읍,강원특별자치도 양구군 양구읍 관공서로 33 양구읍 측정소,강원특별자치도보건환경연구원,2018
강원,양양읍,강원특별자치도 양양군 양양읍 남문로 39 양양군 군의회 옥상,강원특별자치도보건환경연구원,2018
강원,영월읍,강원특별자치도 영월군 영월읍 팔괴로 7-3 능동배수펌프장 부지내 지상,강원특별자치도보건환경연구원,2018
강원,옥천동,강원특별자치도 강릉시 경강로 2179(옥천동 327-2) 옥천동주민센터 2층 옥상,강원특별자치도보건환경연구원,1995
강원,인제읍,강원특별자치도 인제군 인제읍 비봉로44번길 93 인제군기상관측소,강원특별자치도보건환경연구원,2019
강원,정선읍,강원특별자치도 정선군 정선읍 정선로 1331 정선읍행정복지센터 옥상,강원특별자치도보건환경연구원,2018
강원,주문진읍,강원특별자치도 강릉시 주문진읍 항구로 19 주문진보건출장소,강원특별자치도보건환경연구원,2021
강원,중앙동(강원),강원특별자치도 원주시 충정길 12(학성동 206-6) 중앙동주민센터 3층 옥상,강원특별자치도보건환경연구원,1988
강원,중앙로,강원특별자치도 춘천시 중앙로길 135(중앙로 3가 67-1) 춘천시보건소 3층 옥상,강원특별자치도보건환경연구원,2003
강원,지정면,강원특별자치도 원주시 지정면 기업도시로 200 원주의료기기테크노벨리 부지 내 주차장,강원특별자치도보건환경연구원,2021
강원,천곡동,강원특별자치도 동해시 천곡로 77(천곡동 806) 동해시의회 2층 옥상,강원특별자치도보건환경연구원,1996
