Unnamed: 0,지역명,측정소명,주소,위도,경도,광역시도,시군구,구읍,중복확인
170,강원,영월읍,강원특별자치도 영월군 영월읍 팔괴로 7-3 능동배수펌프장 부지내 지상,37.1725797049881,128.455308225328,강원특별자치도,영월군,영월읍,영월
171,강원,옥천동,강원특별자치도 강릉시 경강로 2179(옥천동 327-2) 옥천동주민센터 2층 옥상,37.760146421684,128.902901137286,강원특별자치도,강릉시,경강로,강릉
172,강원,우천면,강원특별자치도 횡성군 우천면 우항1길 5-34 우천보건지소 옥상,37.459744773006,128.063149729537,강원특별자치도,횡성군,우천면,횡성
173,강원,인제읍,강원특별자치도 인제군 인제읍 비봉로44번길 93 인제군기상관측소,,,강원특별자치도,인제군,인제읍,인제
174,강원,정선읍,강원특별자치도 정선군 정선읍 정선로 1331 정선읍행정복지센터 옥상,37.3797750286128,128.661697787512,강원특별자치도,정선군,정선읍,정선
179,강원,천곡동,강원특별자치도 동해시 천곡로 77(천곡동 806) 동해시의회 2층 옥상,37.5247160363066,129.114353204532,강원특별자치도,동해시,천곡로,동해
180,강원,평창읍,강원특별자치도 평창군 평창읍 종부로 61(종부리 504) 평창군보건의료원 2층 옥상,37.3604916716915,128.388851223242,강원특별자치도,평창군,평창읍,평창
181,강원,홍천읍,강원특별자치도 홍천군 홍천읍 연봉동로 27 홍천기상관측소,37.683782946675,127.880269766999,강원특별자치도,홍천군,홍천읍,홍천
182,강원,화천읍,강원특별자치도 화천군 화천읍 화천새싹길 45 건설방재과 옥상,38.1056206855251,127.707927506573,강원특별자치도,화천군,화천읍,화천
183,강원,황지동,강원특별자치도 태백시 태붐로 21 태백시청 부지 내 지상 (황지동),37.1642386319421,128.98655047266,강원특별자치도,태백시,태붐로,태백
185,충남,고덕면(충남),충청남도 예산군 고덕면 예당산단4길 147 예당일반산업단지 폐수처리장 내,36.7626221960546,126.730241242245,충청남도,예산군,고덕면,예산
186,충남,공주,충남 공주시 봉황로 1 (공주시의회 옥상),36.4461617427402,127.119069274839,충청남도,공주시,봉황로,공주
187,충남,금산읍,충남 금산군 금산읍 비호로 69 금산읍사무소 별관 1층 옥상,36.1071626829957,127.490899426272,충청남도,금산군,금산읍,금산
188,충남,내포,충청남도 홍성군 홍북읍 홍예공원로 8 충남보건환경연구원 부지내 1층,36.6535486142166,126.667241040584,충청남도,홍성군,홍북읍,홍성
189,충남,논산,충남 논산시 시민로 389 (취암/부창동 행정복지센터 2층 옥상),36.1996245149014,127.087049426887,충청남도,논산시,시민로,논산
190,충남,당진시청사,충남 당진시 시청1로 1 당진시청사,36.8897414295142,126.645971032203,충청남도,당진시,시청1로,당진
191,충남,대산리,충청남도 서산시 대산읍 충의로 1942 대산종합시장 옥상,36.9380045428536,126.433942856052,충청남도,서산시,대산읍,서산
192,충남,대천2동,충남 보령시 중앙로 142-16 (대천2동 주민센터 옥상),36.3534104877207,126.589782017619,충청남도,보령시,중앙로,보령
193,충남,도고면,충남 아산시 도고면 기곡리 296-4 기곡1리 마을회관 지상,36.7625241696908,126.888727723074,충청남도,아산시,도고면,아산
199,충남,백석동,충청남도 천안시 서북구 음봉로 861-50 한들문화센터 (백석동),36.828034199931,127.104606412951,충청남도,천안시,서북구,천안 서북
200,충남,부여읍,충남 부여군 부여읍 사비로 36 (부여읍행정복지센터 옥상),36.2755521716287,126.911170289082,충청남도,부여군,부여읍,부여
202,충남,서면,충남 서천군 서면 서인로 761 서면보건지소옥상,36.1529161979613,126.549264731833,충청남도,서천군,서면,서천
207,충남,성황동,충남 천안시 동남구 복자1길 24 문성어린이집 문성시립보육시설 옥상,36.8142212551557,127.152127271022,충청남도,천안시,동남구,천안 동남
211,충남,엄사면,충청남도 계룡시 엄사면 번영7길 17 엄사도서관 옥상,36.2870084464795,127.237920729471,충청남도,계룡시,엄사면,계룡
214,충남,원북면,충청남도 태안군 원북면 상리길 17-4 원북면 보건지소 옥상,36.8242532752412,126.257180692086,충청남도,태안군,원북면,태안
218,충남,정산면,충청남도 청양군 정산면 칠갑산로 1861 정산커뮤니티센터,36.4149972873666,126.94558748859,충청남도,청양군,정산면,청양
225,대전,관평동,대전광역시 유성구 테크노중앙로 88 동화울수변공원 내 (관평동),36.424396628209,127.39409910873,대전광역시,유성구,테크노중앙로,대전 유성
228,대전,대성동,대전광역시 동구 동구청로 36 남부여성가족원 (대성동),36.3018762501966,127.460307667188,대전광역시,동구,동구청로,대전 동구
229,대전,둔산동,대전 서구 둔산서로 84(근로자 종합복지회관) 근로자 종합복지회관(3층 옥상),36.3543053981475,127.383476925817,대전광역시,서구,둔산서로,대전 서구
230,대전,문창동,대전 중구 보문로 20번길 38(문창동 주민센터) 문창동 주민센터,36.3162083485201,127.43792100317,대전광역시,중구,보문로,대전 중구
231,대전,문평동,대전 대덕구 문평동로 18번길 34(문평동 119안전센터) 문평동 119안전센터,36.4469173628791,127.404715940285,대전광역시,대덕구,문평동로,대전 대덕
236,충북,가덕면,충청북도 청주시 상당구 가덕면 보청대로 4650 가덕면사무소 앞쪽 부지,36.5533586809667,127.548272697254,충청북도,청주시,상당구,청주 상당
237,충북,감물면,충청북도 괴산군 감물면 충민로신대길 13 감물면사무소 지상,36.8367058223805,127.87497780042,충청북도,괴산군,감물면,괴산
239,충북,단성면,충북 단양군 단성면 충혼로 52-1 단성보건지소 주차장(지면),36.9391593936121,128.320841053443,충청북도,단양군,단성면,단양
241,충북,덕산읍,충청북도 진천군 덕산읍 대월로 90 혁신도시공원 관리사무소 옥상,36.901902923896,127.539094201119,충청북도,진천군,덕산읍,진천
242,충북,도안면,충청북도 증평군 도안면 문화마을길 8 도안면사무소 옥상,36.8135539598175,127.612662692139,충청북도,증평군,도안면,증평
244,충북,보은읍,충청북도 보은군 보은읍 이평리 244 보은군 스포츠파크,36.4841550475739,127.731072970116,충청북도,보은군,보은읍,보은
245,충북,사천동,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층) 청주청원도서관 옥상",36.6662491019072,127.475012190031,충청북도,청주시,청원구,청주 청원
246,충북,산남동,충청북도 청주시 서원구 원흥로 81 청주지방법원 옆 주차장 지상 (산남동),36.6132585639013,127.468769324403,충청북도,청주시,서원구,청주 서원
247,충북,살미면,충청북도 충주시 살미면 세성양지말길 41 살미면 행정복지센터 주차장 옆,36.905423676216,127.964469546958,충청북도,충주시,살미면,충주
248,충북,소이면,충청북도 음성군 소이면 소이로 409 소이면전천후게이트볼장 공터,36.9236503828895,127.757650724566,충청북도,음성군,소이면,음성
249,충북,송정동(봉명동),충북 청주시 흥덕구 직지대로 393(송정동) 충북문화재연구원 옥상,36.6448655355486,127.4367816619,충청북도,청주시,흥덕구,청주 흥덕
250,충북,영동읍,충청북도 영동군 영동읍 계산로2길 25 레인보우도서관 옥상,36.1727527194374,127.77779094926,충청북도,영동군,영동읍,영동
251,충북,영천동,충청북도 제천시 청풍호로8길 7 비점오염원 관리시설 뒤편 공터 (영천동),37.1241064235549,128.200858294211,충청북도,제천시,청풍호로8길,제천
254,충북,옥천읍,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상) 옥천군청 통합관제 센터 옥상,36.3058564614158,127.571572404035,충청북도,옥천군,옥천읍,옥천
266,세종,부강면,세종특별자치시 부강면 부강외천로 20 문화복지회관 옥상,36.5270775723323,127.370358312053,세종특별자치시,부강면,부강외천로,세종
271,부산,개금동,부산광역시 부산진구 개금온정로17번길 51 개금3동 어린이놀이터 지상 (개금동),35.1552027665379,129.022660593394,부산광역시,부산진구,개금온정로17번길,부산 부산진
272,부산,광복동,부산 중구 광복로 55번길 10 광복동주민센터 옥상,35.0999599283178,129.030401003961,부산광역시,중구,광복로,부산 중구
273,부산,광안동,부산 수영구 광안로21번가길 57 한바다중학교 옥상,35.1572924115621,129.117611853193,부산광역시,수영구,광안로21번가길,부산 수영
274,부산,기장읍,부산 기장군 기장읍 읍내로 69 기장초등학교 옥상,35.2458010248056,129.21276466248,부산광역시,기장군,기장읍,부산 기장
275,부산,녹산동,부산 강서구 녹산산단 382로 49번길 39 부산환경공단 녹산사업소,,,부산광역시,강서구,녹산산단,부산 강서
276,부산,당리동,부산 사하구 제석로 41 낙동초등학교 운동장 동편 화단 (당리동),35.1055572484486,128.972366232595,부산광역시,사하구,제석로,부산 사하
277,부산,대신동,부산 서구 대신로 150 부산국민체육센터 옥상,35.1173241892258,129.015769555162,부산광역시,서구,대신로,부산 서구
278,부산,대연동,부산 남구 수영로 196번길 80 부산공업고등학교 공동실습관 옥상,35.1301674053981,129.087687218828,부산광역시,남구,수영로,부산 남구
280,부산,덕천동,부산 북구 덕천2길 10 덕천초등학교 운동장 남쪽 화단,35.2082050651349,129.006965137504,부산광역시,북구,덕천2길,부산 북구
281,부산,덕포동,부산 사상구 삼덕로 83 덕포초등학교 운동장 북서쪽 화단 (덕포동),35.1739318359051,128.986027845248,부산광역시,사상구,삼덕로,부산 사상
282,부산,명장동,부산 동래구 명장로 32 명장1동 주민센터 옥상,35.2046966233295,129.104247832569,부산광역시,동래구,명장로,부산 동래
284,부산,부곡동,부산 금정구 부곡로156번길 7 부곡2동 주민센터 옥상 (부곡동),35.2298385757335,129.092698337909,부산광역시,금정구,부곡로156번길,부산 금정
285,부산,수정동,부산 동구 구청로 1 동구청 지상,35.1292975675514,129.045298203371,부산광역시,동구,구청로,부산 동구
286,부산,연산동,부산 연제구 중앙대로 1001 부산광역시청 녹음광장 창고,35.17992598569,129.07509523457,부산광역시,연제구,중앙대로,부산 연제
290,부산,재송동,부산광역시 해운대구 센텀동로 191 동부하수처리장 (재송동),,,부산광역시,해운대구,센텀동로,부산 해운대
294,부산,청학동,부산광역시 영도구 청학남로13번길 18 청학동 어울림마당 (청학동),35.0907590792115,129.05949686454,부산광역시,영도구,청학남로13번길,부산 영도
