날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-11-27 16:00,양구읍,도시대기,0.002,0.5,0.013,0.005,11,9
2023-11-27 16:00,양양읍,도시대기,0.002,0.4,0.041,0.002,4,3
2023-11-27 16:00,영월읍,도시대기,0.002,0.6,0.015,0.004,20,18
2023-11-27 16:00,옥천동,도시대기,0.002,0.2,0.036,0.003,5,2
2023-11-27 16:00,인제읍,도시대기,0.002,0.3,0.036,0.001,5,3
2023-11-27 16:00,정선읍,도시대기,0.002,0.5,0.027,0.003,12,-
2023-11-27 16:00,주문진읍,도시대기,0.001,0.3,0.038,0.002,11,5
2023-11-27 16:00,중앙동(강원),도시대기,0.004,0.8,0.006,0.031,29,15
2023-11-27 16:00,중앙로,도시대기,0.002,0.5,0.006,0.012,13,-
2023-11-27 16:00,지정면,도시대기,0.002,0.3,0.017,0.004,16,13
2023-11-27 16:00,천곡동,도시대기,0.002,0.2,0.037,0.002,4,4
2023-11-27 16:00,평창읍,도시대기,0.002,0.3,0.020,0.004,18,9
2023-11-27 16:00,홍천읍,도시대기,0.002,0.4,0.008,0.016,19,15
2023-11-27 16:00,화천읍,도시대기,0.003,0.5,0.010,0.008,23,13
2023-11-27 16:00,황지동,도시대기,0.002,0.3,0.037,0.002,6,4
2023-11-27 16:00,횡성읍,도시대기,0.002,0.6,0.010,0.008,17,14
2023-11-27 15:00,고덕면(충남),도시대기,0.003,0.6,0.038,0.008,37,13
2023-11-27 15:00,공주,도시대기,0.003,0.3,0.034,0.010,30,18
2023-11-27 16:00,금산읍,도시대기,0.003,0.4,0.032,0.018,18,18
2023-11-27 15:00,내포,도시대기,0.002,0.3,0.041,0.005,23,17
2023-11-27 15:00,논산,도시대기,-,-,-,-,-,-
2023-11-27 15:00,당진시청사,도시대기,0.003,0.4,0.034,0.010,24,11
2023-11-27 15:00,대산리,도시대기,0.003,0.5,0.042,0.010,31,15
2023-11-27 16:00,대천2동,도시대기,0.003,0.4,0.034,0.009,20,6
2023-11-27 15:00,도고면,도시대기,0.003,0.4,0.029,0.011,22,16
2023-11-27 15:00,독곶리,도시대기,0.004,0.5,0.041,0.016,40,16
2023-11-27 15:00,동문동,도시대기,0.004,0.4,0.037,0.005,24,11
2023-11-27 15:00,둔포면,도시대기,0.003,0.4,0.014,0.022,33,15
2023-11-27 16:00,모종동,도시대기,0.004,0.4,0.020,0.025,26,23
2023-11-27 15:00,배방읍,도시대기,0.003,0.4,0.017,0.023,24,21
2023-11-27 15:00,백석동,도시대기,-,-,-,-,-,-
2023-11-27 15:00,부여읍,도시대기,0.002,0.7,0.019,0.016,20,19
2023-11-27 15:00,삽교읍,도시대기,0.003,0.5,0.029,0.008,22,12
2023-11-27 15:00,서면,도시대기,0.003,0.4,0.026,0.008,11,6
2023-11-27 15:00,서천읍,도시대기,0.003,0.4,0.041,0.011,5,4
2023-11-27 15:00,성거읍,도시대기,0.003,0.5,0.015,0.026,35,20
2023-11-27 15:00,성동면,도시대기,0.003,0.6,0.032,0.007,23,12
2023-11-27 15:00,성연면,도시대기,0.003,0.5,0.046,0.009,20,8
2023-11-27 15:00,성황동,도시대기,0.003,0.5,0.019,0.025,30,20
2023-11-27 15:00,송산면,도시대기,0.005,0.4,0.024,0.016,16,16
2023-11-27 15:00,송악면,도시대기,0.003,0.5,0.034,0.011,15,12
2023-11-27 15:00,신방동,도시대기,0.003,0.3,0.023,0.018,23,11
2023-11-27 16:00,엄사면,도시대기,0.003,0.4,0.030,-,34,22
2023-11-27 15:00,연무읍,도시대기,0.003,0.4,0.035,0.009,19,9
2023-11-27 16:00,예산군,도시대기,0.003,0.4,0.030,0.011,17,11
2023-11-27 15:00,원북면,도시대기,0.003,0.5,0.043,0.007,36,22
2023-11-27 15:00,이원면,도시대기,0.005,0.4,0.041,0.009,64,28
2023-11-27 15:00,인주면,도시대기,0.003,0.4,0.022,0.015,19,19
2023-11-27 15:00,장항읍,도시대기,0.003,0.4,0.039,0.007,7,1
2023-11-27 15:00,정산면,도시대기,0.004,0.6,0.034,0.008,31,17
2023-11-27 15:00,주교면,도시대기,0.004,0.4,0.043,0.008,9,2
2023-11-27 15:00,아주동,도시대기,0.002,-,0.045,0.009,16,10
2023-11-27 16:00,탄천면,도시대기,0.003,0.4,0.031,0.008,30,15
2023-11-27 15:00,태안읍,도시대기,0.004,0.5,0.041,0.011,46,16
2023-11-27 15:00,합덕읍,도시대기,0.003,0.5,0.040,0.007,20,18
2023-11-27 15:00,홍성읍,도시대기,0.002,0.4,0.032,0.009,24,11
2023-11-27 15:00,관평동,도시대기,0.002,0.5,0.039,0.008,18,13
2023-11-27 15:00,구성동,도시대기,0.002,0.3,0.032,0.016,22,21
