측정일시,이산화질소,오존,일산화탄소,아황산,미세,초미세
20231116,0.038,0.006,0.7,0.003,47.0,35.0
20231117,0.018,0.018,0.4,0.003,20.0,10.0
20231118,0.012,0.024,0.4,0.003,22.0,13.0
20231119,0.026,0.02,0.6,0.003,42.0,24.0
20231120,0.032,0.012,0.6,0.003,32.0,18.0
20231121,0.046,0.007,0.8,0.004,37.0,22.0
20231122,0.045,0.012,0.7,0.004,43.0,28.0
20231123,0.025,0.029,0.7,0.003,98.0,51.0
20231124,0.012,0.025,0.3,0.002,17.0,8.0
20231125,0.021,0.019,0.4,0.003,19.0,9.0
20231201,0.023,0.02,0.5,0.003,24.0,11.0
20231202,0.034,0.012,0.6,0.003,34.0,18.0
20231203,0.023,0.021,0.6,0.004,38.0,23.0
20231204,0.046,0.006,0.8,0.003,42.0,26.0
20231205,0.046,0.009,0.7,0.004,43.0,27.0
20231206,0.046,0.007,0.8,0.003,66.0,47.0
20231207,0.026,0.018,0.5,0.003,62.0,16.0
20231208,0.029,0.03,0.6,0.003,84.0,23.0
20231209,0.027,0.038,0.6,0.003,72.0,31.0
20231210,0.025,0.021,0.7,0.003,80.0,36.0
20231211,0.015,0.023,0.4,0.002,7.0,3.0
