STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수
201405,부산광역시,114996,7862,18459
201406,부산광역시,83819,7375,13827
201407,부산광역시,89902,9085,13719
201408,부산광역시,94349,7683,13969
201409,부산광역시,159943,7507,19238
201410,부산광역시,164797,6911,20926
201411,부산광역시,182868,6540,23131
201412,부산광역시,173651,6809,22355
201501,부산광역시,146991,6638,20020
201502,부산광역시,163803,5969,21126
201503,부산광역시,180525,7367,23744
201504,부산광역시,156244,6654,23235
201505,부산광역시,124549,7698,20148
201506,부산광역시,86503,6427,13812
201507,부산광역시,77125,8643,11611
201508,부산광역시,89841,8359,13937
201509,부산광역시,172899,6502,20438
201510,부산광역시,168912,6864,21699
201511,부산광역시,148416,5864,21044
201512,부산광역시,191416,6270,25615
201601,부산광역시,172146,6553,19544
201602,부산광역시,173608,6050,22460
201603,부산광역시,168569,6694,22980
201604,부산광역시,149648,6663,22052
201605,부산광역시,115354,7606,18437
201606,부산광역시,89022,7749,13851
201607,부산광역시,87799,8447,11764
201608,부산광역시,103488,8434,13180
201609,부산광역시,157512,6325,18529
201610,부산광역시,166801,6553,21445
201611,부산광역시,166158,6706,21083
201612,부산광역시,193116,6122,22565
201701,부산광역시,141548,6342,17812
201702,부산광역시,129342,6260,16141
201703,부산광역시,186955,6693,20896
201704,부산광역시,170404,6528,20861
201705,부산광역시,129107,7974,17505
201706,부산광역시,97652,7172,12965
201707,부산광역시,87050,8626,11014
201708,부산광역시,99176,7819,11245
201709,부산광역시,163184,7022,15688
201710,부산광역시,152329,6227,15360
201711,부산광역시,195268,6990,19076
201712,부산광역시,232007,6132,21032
201801,부산광역시,198788,6305,21021
201802,부산광역시,129200,6173,14035
201803,부산광역시,168569,6650,17798
201804,부산광역시,169549,7031,19848
201805,부산광역시,127391,7324,16923
201806,부산광역시,99888,7363,13587
201807,부산광역시,86217,8634,10787
201808,부산광역시,88749,7681,10743
201809,부산광역시,165641,6380,15062
201810,부산광역시,185160,7346,18057
201811,부산광역시,171246,6492,18685
201812,부산광역시,200429,6552,20023
201901,부산광역시,143538,7285,16007
201902,부산광역시,123824,6391,12378
201903,부산광역시,168318,7491,15825
201904,부산광역시,174414,7754,18091
201905,부산광역시,134896,8872,17333
201906,부산광역시,91641,7423,12466
201907,부산광역시,94916,9227,11845
201908,부산광역시,94287,9265,11251
201909,부산광역시,154613,8059,14433
201910,부산광역시,180171,8200,17564
201911,부산광역시,179480,7498,18140
201912,부산광역시,195409,7486,19167
202001,부산광역시,176458,7258,17417
202002,부산광역시,99019,6494,11281
202003,부산광역시,62391,7379,7952
202004,부산광역시,57016,8323,6817
202005,부산광역시,70900,9382,7253
202006,부산광역시,81564,9598,7452
202007,부산광역시,63788,8554,6638
202008,부산광역시,57103,9868,6038
202009,부산광역시,87032,8831,7359
202010,부산광역시,100364,8740,7919
202011,부산광역시,102419,8152,8319
202012,부산광역시,65014,8211,6695
202101,부산광역시,47680,7202,5527
202102,부산광역시,58901,7096,5604
202103,부산광역시,107688,8455,8293
202104,부산광역시,93487,8516,7828
202105,부산광역시,64650,7973,6878
202106,부산광역시,58880,8830,6434
202107,부산광역시,53207,9345,5338
202108,부산광역시,52403,8872,5469
202109,부산광역시,98114,8488,8482
202110,부산광역시,120452,9172,10140
202111,부산광역시,119948,8397,9957
202112,부산광역시,93433,8423,10358
202201,부산광역시,97603,8764,8883
202202,부산광역시,127475,7711,7871
202203,부산광역시,169640,7479,11564
202204,부산광역시,100979,9000,10603
202205,부산광역시,76241,8881,8354
202206,부산광역시,66662,7918,7433
202207,부산광역시,84759,8897,7716
202208,부산광역시,100201,8740,8431
202209,부산광역시,104144,8084,10600
202210,부산광역시,128208,8022,12257
202211,부산광역시,141279,7629,11888
202212,부산광역시,154856,7995,11224
200601,대구광역시,64441,6832,18430
200602,대구광역시,56279,6784,16882
200603,대구광역시,72627,7645,22164
200604,대구광역시,76801,6471,25355
200605,대구광역시,53251,7489,19270
200606,대구광역시,39650,7157,13577
200607,대구광역시,34478,7929,11321
200608,대구광역시,39486,8264,13256
200609,대구광역시,101316,6038,23396
200610,대구광역시,56952,6176,18364
200611,대구광역시,77069,6722,20931
200612,대구광역시,73102,6003,19087
200701,대구광역시,80221,7038,20261
200702,대구광역시,54582,6188,13445
200703,대구광역시,69682,6841,16768
200704,대구광역시,72269,6706,19779
200705,대구광역시,55061,7123,16806
200706,대구광역시,38457,6231,11789
200707,대구광역시,40306,7267,11164
200708,대구광역시,39302,7412,10928
200709,대구광역시,93513,5864,21813
200710,대구광역시,86698,7012,22609
200711,대구광역시,86972,6805,20956
200712,대구광역시,88012,5758,20013
200801,대구광역시,89338,7178,19666
200802,대구광역시,84886,7469,17912
200803,대구광역시,86510,6598,20511
200804,대구광역시,85631,7129,22266
200805,대구광역시,68287,7645,18799
200806,대구광역시,49139,6089,13005
200807,대구광역시,36442,8673,9509
200808,대구광역시,49639,6365,10009
200809,대구광역시,92708,6636,16239
200810,대구광역시,87786,6466,19613
200811,대구광역시,84337,6119,19163
200812,대구광역시,121612,6472,25731
200901,대구광역시,83513,6570,16919
200902,대구광역시,57051,6246,13360
200903,대구광역시,84660,7497,18283
200904,대구광역시,104776,7347,22220
200905,대구광역시,74454,7111,16242
200906,대구광역시,56093,7113,13477
200907,대구광역시,50585,7276,12394
200908,대구광역시,77497,7354,15596
200909,대구광역시,120403,6214,20823
200910,대구광역시,130720,6735,22515
200911,대구광역시,100267,5688,18903
200912,대구광역시,104397,6436,18191
201001,대구광역시,96970,6582,14952
201002,대구광역시,82525,6184,13591
201003,대구광역시,104185,7188,19070
201004,대구광역시,117510,6742,24658
201005,대구광역시,87881,7465,22150
201006,대구광역시,59522,7358,14882
201007,대구광역시,50837,7842,11102
201008,대구광역시,52740,7542,10509
201009,대구광역시,131998,6933,19770
201010,대구광역시,116454,6199,22292
201011,대구광역시,103465,6479,22430
201012,대구광역시,115198,5979,22780
201101,대구광역시,91810,6793,16853
201102,대구광역시,77652,5663,13658
201103,대구광역시,116444,7236,17538
201104,대구광역시,108573,6721,20454
201105,대구광역시,81107,7169,18429
201106,대구광역시,58176,7128,13003
201107,대구광역시,50242,7476,11227
201108,대구광역시,73169,7554,14432
201109,대구광역시,130745,6979,22547
201110,대구광역시,109031,5739,22977
201111,대구광역시,104801,6050,22948
201112,대구광역시,134452,6771,21267
201201,대구광역시,110084,6243,19535
201202,대구광역시,122603,5823,22086
201203,대구광역시,119092,6538,21317
201204,대구광역시,112521,6620,23246
201205,대구광역시,86027,7241,18672
201206,대구광역시,57159,6639,11718
201207,대구광역시,53717,7785,10813
201208,대구광역시,59287,6973,11641
201209,대구광역시,133143,5999,20839
201210,대구광역시,127509,6323,22516
201211,대구광역시,103688,5555,19322
201212,대구광역시,92125,5516,15541
201301,대구광역시,103310,6557,16686
201302,대구광역시,115364,6018,18409
201303,대구광역시,125994,6750,20490
201304,대구광역시,111474,6511,18684
201305,대구광역시,80717,7753,16141
201306,대구광역시,54002,7441,10672
201307,대구광역시,56060,8377,9626
201308,대구광역시,67307,7274,11291
201309,대구광역시,137895,6134,19548
201310,대구광역시,119204,6253,20433
201311,대구광역시,113165,5938,18491
201312,대구광역시,102356,5756,15473
201401,대구광역시,121171,6455,15908
201402,대구광역시,141292,5645,21303
201403,대구광역시,111215,6387,19874
201404,대구광역시,123063,7330,23638
201405,대구광역시,82874,7392,16501
201406,대구광역시,60140,6353,11377
201407,대구광역시,67211,7585,11461
201408,대구광역시,72438,6631,11367
201409,대구광역시,130624,6813,17474
201410,대구광역시,121139,5895,18473
201411,대구광역시,134122,5702,21378
201412,대구광역시,118430,6164,18119
201501,대구광역시,98788,5988,15799
201502,대구광역시,108950,5724,16434
201503,대구광역시,134991,6945,20782
201504,대구광역시,116901,6580,20645
201505,대구광역시,83072,7360,15501
201506,대구광역시,60713,5481,10446
201507,대구광역시,56655,6918,9766
201508,대구광역시,70712,6845,12125
201509,대구광역시,143010,6241,18243
201510,대구광역시,118302,6000,18097
201511,대구광역시,107570,5132,19135
201512,대구광역시,128145,5846,19356
201601,대구광역시,121534,5955,14988
201602,대구광역시,127856,5692,17422
201603,대구광역시,121750,6167,17462
201604,대구광역시,113104,6354,17626
201605,대구광역시,85983,6572,14465
201606,대구광역시,65506,6738,10145
201607,대구광역시,66433,7016,9095
201608,대구광역시,76073,7320,10320
201609,대구광역시,124248,5652,15525
201610,대구광역시,130928,5871,17719
201611,대구광역시,122060,5995,18329
201612,대구광역시,148080,5703,17030
201701,대구광역시,93746,5939,11873
201702,대구광역시,96353,6031,12038
201703,대구광역시,128204,6264,15040
201704,대구광역시,131056,6714,16703
201705,대구광역시,91329,7550,12865
201706,대구광역시,69220,6617,9421
201707,대구광역시,63854,7087,7922
201708,대구광역시,82385,7279,8671
201709,대구광역시,135516,6455,12640
201710,대구광역시,105121,5424,12403
201711,대구광역시,137352,6019,15215
201712,대구광역시,159358,5755,15534
201801,대구광역시,144913,5688,14906
201802,대구광역시,92805,5753,10251
201803,대구광역시,121794,6173,12686
201804,대구광역시,135007,6781,16935
201805,대구광역시,89131,6512,13066
201806,대구광역시,68308,6569,9275
201807,대구광역시,63061,6982,7367
201808,대구광역시,65433,6282,7845
201809,대구광역시,134314,5812,12631
201810,대구광역시,131002,6233,15058
201811,대구광역시,131100,5633,16902
201812,대구광역시,143524,5379,15813
201901,대구광역시,98536,6057,11241
201902,대구광역시,83166,5410,8816
201903,대구광역시,122822,6140,11878
201904,대구광역시,136253,6513,15065
201905,대구광역시,94446,7273,12984
201906,대구광역시,62130,6005,8659
201907,대구광역시,70272,7386,8404
201908,대구광역시,68116,7264,7459
201909,대구광역시,123851,6295,10829
201910,대구광역시,126757,6662,12226
201911,대구광역시,124706,5922,13350
201912,대구광역시,137717,5963,13620
202001,대구광역시,124316,5951,11493
202002,대구광역시,71004,4817,7496
202003,대구광역시,39177,5186,4802
202004,대구광역시,43608,6743,4438
202005,대구광역시,44317,7392,4179
202006,대구광역시,51892,7200,3949
202007,대구광역시,55481,6492,4129
202008,대구광역시,43875,7703,3504
202009,대구광역시,80474,6943,4938
202010,대구광역시,87445,6711,5695
202011,대구광역시,71270,5916,5413
202012,대구광역시,52649,6225,4496
202101,대구광역시,35747,5761,3482
202102,대구광역시,41532,5668,3325
202103,대구광역시,81129,6575,5237
202104,대구광역시,98425,7076,6857
202105,대구광역시,51546,6336,4914
202106,대구광역시,43754,6949,3996
202107,대구광역시,41890,7387,3624
202108,대구광역시,46539,7185,3422
202109,대구광역시,84660,7037,4885
202110,대구광역시,86024,7004,7010
202111,대구광역시,101131,6311,7106
202112,대구광역시,61273,6562,5001
202201,대구광역시,64365,6613,6241
202202,대구광역시,87709,6041,5829
202203,대구광역시,123031,5864,7042
202204,대구광역시,103280,7806,8694
202205,대구광역시,57930,6924,5706
202206,대구광역시,56722,6165,6152
202207,대구광역시,66500,6390,6026
202208,대구광역시,79832,6614,6105
202209,대구광역시,91363,6349,8111
202210,대구광역시,96446,6222,8568
202211,대구광역시,102670,5647,7905
202212,대구광역시,108462,5977,7929
200601,인천광역시,63928,9330,16028
200602,인천광역시,53757,9814,14677
200603,인천광역시,77145,10579,20745
200604,인천광역시,76024,9236,22773
200605,인천광역시,63590,10476,19483
200606,인천광역시,46678,9538,13941
200607,인천광역시,39600,11481,10890
200608,인천광역시,44251,12227,12557
200609,인천광역시,97232,8613,22253
200610,인천광역시,66726,8099,18908
200611,인천광역시,90321,9301,23276
200612,인천광역시,88384,8345,21213
200701,인천광역시,81684,9719,19096
200702,인천광역시,55569,9199,13510
200703,인천광역시,74293,9816,17728
200704,인천광역시,81208,9300,22707
200705,인천광역시,65789,10301,18080
200706,인천광역시,49924,10368,13942
200707,인천광역시,47521,9935,12725
200708,인천광역시,49473,11204,12567
200709,인천광역시,109205,8019,23280
200710,인천광역시,98924,11162,24094
200711,인천광역시,98367,9779,23104
200712,인천광역시,109243,8828,22500
200801,인천광역시,87920,10841,18382
200802,인천광역시,91321,10126,19719
200803,인천광역시,91701,9845,20960
200804,인천광역시,88986,10432,21890
200805,인천광역시,76265,10505,20007
200806,인천광역시,60252,10042,15618
200807,인천광역시,48845,11022,11927
200808,인천광역시,61000,10681,11539
200809,인천광역시,104530,9713,18531
200810,인천광역시,97838,9268,22476
200811,인천광역시,95414,9252,21922
200812,인천광역시,124532,9733,25958
200901,인천광역시,90186,9880,18804
200902,인천광역시,64238,9408,14930
200903,인천광역시,106262,10519,22603
200904,인천광역시,112415,9648,25836
200905,인천광역시,88138,10083,19479
200906,인천광역시,67310,10059,15549
200907,인천광역시,60033,10067,14514
200908,인천광역시,82890,10008,15059
200909,인천광역시,149068,8464,22417
200910,인천광역시,137266,8984,24360
200911,인천광역시,128394,8640,23237
200912,인천광역시,117556,9305,21346
201001,인천광역시,100088,8828,15874
201002,인천광역시,86716,8570,14864
201003,인천광역시,123586,10286,22310
201004,인천광역시,128373,9228,25728
201005,인천광역시,97359,9853,24297
201006,인천광역시,71772,10492,17550
201007,인천광역시,62141,11016,13889
201008,인천광역시,64974,10359,12535
201009,인천광역시,152255,9608,22933
201010,인천광역시,137875,9455,27034
201011,인천광역시,114197,8923,26396
201012,인천광역시,132166,8430,27623
201101,인천광역시,103675,9264,19778
201102,인천광역시,89543,8116,15818
201103,인천광역시,131119,10064,20939
201104,인천광역시,108061,9036,22893
201105,인천광역시,100897,10454,23168
201106,인천광역시,72564,9716,16459
201107,인천광역시,62230,10715,14168
201108,인천광역시,84343,11430,18347
201109,인천광역시,149307,9573,25903
201110,인천광역시,138170,8246,26187
201111,인천광역시,121994,8224,23025
201112,인천광역시,139604,9532,21833
201201,인천광역시,125574,9318,22065
201202,인천광역시,124750,9126,22442
201203,인천광역시,145564,9666,25766
201204,인천광역시,124440,9216,25862
201205,인천광역시,107431,11783,21777
201206,인천광역시,68793,10451,13926
201207,인천광역시,66942,10863,14314
201208,인천광역시,77477,11271,14824
201209,인천광역시,162643,8939,22204
201210,인천광역시,136186,9785,23020
201211,인천광역시,126265,8695,22766
201212,인천광역시,116496,8867,20289
201301,인천광역시,122955,9662,21185
201302,인천광역시,122608,8806,21672
201303,인천광역시,147644,9536,24787
201304,인천광역시,131560,9389,23205
201305,인천광역시,105325,10853,19799
201306,인천광역시,73186,10378,14698
201307,인천광역시,71600,11545,13207
201308,인천광역시,91446,12245,15227
201309,인천광역시,163197,9629,21338
201310,인천광역시,138185,8746,22058
201311,인천광역시,133679,8370,21008
201312,인천광역시,116945,8288,18525
201401,인천광역시,144383,8852,20236
201402,인천광역시,173729,8824,24961
201403,인천광역시,127679,9368,20346
201404,인천광역시,128607,9827,22697
201405,인천광역시,104751,10964,18360
201406,인천광역시,77148,10457,13611
201407,인천광역시,85324,11310,13940
201408,인천광역시,98588,10507,14120
201409,인천광역시,159038,10119,18606
201410,인천광역시,155255,8830,20016
201411,인천광역시,158124,8238,21874
201412,인천광역시,137639,8912,20812
201501,인천광역시,120861,8822,16756
201502,인천광역시,126290,8071,16599
201503,인천광역시,158818,10188,19866
201504,인천광역시,134782,9481,18818
201505,인천광역시,106502,10792,16549
201506,인천광역시,74770,8836,11446
201507,인천광역시,72888,10549,11372
201508,인천광역시,96541,11074,13193
201509,인천광역시,168547,9282,18080
201510,인천광역시,142920,8493,18599
201511,인천광역시,146243,7578,19606
201512,인천광역시,170841,8763,24903
201601,인천광역시,138702,8675,18566
201602,인천광역시,138064,8477,19240
201603,인천광역시,154228,9370,20920
201604,인천광역시,136185,9312,19599
201605,인천광역시,113232,10489,17052
201606,인천광역시,86491,9780,12593
201607,인천광역시,84807,10272,11876
201608,인천광역시,104678,11492,13944
201609,인천광역시,151358,9008,16956
201610,인천광역시,155604,8275,18345
201611,인천광역시,157997,8396,21563
201612,인천광역시,200654,7746,23556
201701,인천광역시,109740,8364,14660
201702,인천광역시,115955,8340,14358
201703,인천광역시,166337,9386,19415
201704,인천광역시,147978,9148,19077
201705,인천광역시,118252,10900,15957
