SIDO,STD_YYYYMM,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
경상북도,201701,0.0121,N,0.0136,N,N,0.0092,Y,0.0323,Y,0.0005,N,0.6238,Y,0.0007,N,0.0125,Y
경상남도,201701,0.0297,Y,0.0124,N,N,0.0011,N,0.0156,N,0.0018,N,0.3294,N,0.0004,N,0.0018,N
서울특별시,201702,0.0152,N,0.0203,N,N,0.0013,N,0.0235,N,0.0061,Y,0.4527,N,0.0008,N,0.003,N
부산광역시,201702,0.0148,N,0.015,N,N,0.004,Y,0.0422,Y,0.0049,Y,0.6441,Y,0.0004,N,0.0044,Y
대구광역시,201702,0.0163,Y,0.018,N,N,0.0019,N,0.0152,N,0.0032,N,0.3808,N,0.0013,Y,0.0026,N
인천광역시,201702,0.0128,N,0.0186,N,N,0.0019,N,0.0256,N,0.0045,Y,0.5044,N,0.0006,N,0.0025,N
광주광역시,201702,0.0032,N,0.0138,N,N,0.0013,N,0.0103,N,0.0005,N,0.3282,N,0.0001,N,0.001,N
대전광역시,201702,0.0175,Y,0.0243,N,Y,0.0036,N,0.0341,Y,0.004,N,0.7339,Y,0.0009,Y,0.0039,Y
울산광역시,201702,0.0108,N,0.0152,N,N,0.0017,N,0.0184,N,0.0039,N,0.5266,N,0.0003,N,0.0013,N
세종특별자치시,201702,0.0171,N,0.0181,N,N,0.0028,N,0.0247,N,0.0035,N,0.4996,N,0.0006,N,0.0036,N
경기도,201702,0.0382,Y,0.0372,N,Y,0.0049,Y,0.034,Y,0.0066,Y,0.884,Y,0.0014,Y,0.007,Y
강원도,201702,0.0092,N,0.0179,N,N,0.0014,N,0.0271,N,0.0053,Y,0.5874,Y,0.0008,N,0.0018,N
충청북도,201702,0.0189,Y,0.019,N,N,0.004,Y,0.0199,N,0.0038,N,0.5064,N,0.0008,N,0.0063,Y
충청남도,201702,0.006,N,0.0156,N,N,0.0024,N,0.0144,N,0.0034,N,0.371,N,0.0003,N,0.0036,N
전라북도,201702,0.0266,Y,0.0243,N,Y,0.0011,N,0.0114,N,0.0026,N,0.1316,N,0.001,Y,0.0018,N
전라남도,201702,0.0058,N,0.0122,N,N,0.0016,N,0.0157,N,0.0016,N,0.2316,N,0.0002,N,0.0036,N
경상북도,201702,0.0239,Y,0.0078,N,N,0.0085,Y,0.0576,Y,0.0006,N,0.8317,Y,0.0004,N,0.0092,Y
경상남도,201702,0.0373,Y,0.0124,N,N,0.0021,N,0.0212,N,0.0009,N,0.3794,N,0.0004,N,0.0026,N
서울특별시,201703,0.0199,Y,0.0193,N,N,0.0025,N,0.0232,N,0.0038,N,0.7598,Y,0.0006,N,0.0024,N
부산광역시,201703,0.0129,N,0.0122,N,N,0.0066,Y,0.0434,Y,0.0022,N,0.7555,Y,0.0004,N,0.0059,Y
대구광역시,201703,0.0086,N,0.0154,N,N,0.0012,N,0.0131,N,0.005,Y,0.3685,N,0.0011,Y,0.0018,N
인천광역시,201703,0.0129,N,0.0195,N,N,0.0027,N,0.0225,N,0.0031,N,0.5268,N,0.0006,N,0.0021,N
광주광역시,201703,0.0059,N,0.022,N,N,0.0017,N,0.0134,N,0.0035,N,0.4569,N,0.0007,N,0.0021,N
대전광역시,201703,0.0112,N,0.0205,N,N,0.0029,N,0.0345,Y,0.0035,N,0.6784,Y,0.001,Y,0.0035,N
울산광역시,201703,0.0094,N,0.0182,N,N,0.0017,N,0.0196,N,0.0027,N,0.6066,Y,0.0007,N,0.0015,N
세종특별자치시,201703,0.0123,N,0.0184,N,N,0.0032,N,0.0244,N,0.0029,N,0.5374,N,0.0007,N,0.0034,N
경기도,201703,0.0349,Y,0.0396,N,Y,0.0054,Y,0.0326,Y,0.0046,Y,0.8006,Y,0.0011,Y,0.0054,Y
강원도,201703,0.0088,N,0.0164,N,N,0.0015,N,0.0345,Y,0.0042,Y,0.6929,Y,0.0007,N,0.0039,Y
충청북도,201703,0.0162,Y,0.0196,N,N,0.0043,Y,0.0198,N,0.003,N,0.5324,N,0.0007,N,0.001,N
