STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,평균기온,평균상대습도,평균증기압,평균최고기온,평균최저기온,평균풍속,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_PM2.5,PM2_BAD,PM2_35BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_일산화,일산화_9BAD,일산화_BAD,차량수,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
201906,서울특별시,248321,28929,33681,22.5,61.0,16.1,27.7,18.1,1.7,29.0,N,N,20.0,N,N,0.004,N,N,0.02,N,N,Y,0.4,N,N,3120332.0,0.0206,Y,0.0282,N,Y,0.0015,N,0.0135,N,0.0079,Y,0.5249,N,0.0008,N,0.0026,N
201907,서울특별시,254895,33541,32285,25.9,69.0,22.6,30.1,22.7,1.8,26.0,N,N,19.0,N,N,0.004,N,N,0.018,N,N,N,0.4,N,N,3121140.0,0.0089,N,0.005,N,N,0.001,N,0.0059,N,0.0007,N,0.2525,N,0.0002,N,0.0012,N
201908,서울특별시,277290,34302,31461,27.2,69.0,24.2,31.6,23.6,1.6,25.0,N,N,16.0,N,N,0.004,N,N,0.018,N,N,N,0.4,N,N,3120892.0,0.0189,Y,0.0111,N,N,0.0018,N,0.0096,N,0.0022,N,0.3932,N,0.0004,N,0.002,N
201909,서울특별시,465550,30566,42371,22.6,65.0,17.8,27.1,19.0,2.2,21.0,N,N,12.0,N,N,0.003,N,N,0.021,N,N,Y,0.4,N,N,3121687.0,0.0137,N,0.0042,N,N,0.0006,N,0.0059,N,0.0009,N,0.2845,N,0.0001,N,0.0012,N
201910,서울특별시,470234,30238,47845,16.4,62.0,11.7,21.8,11.8,2.1,31.0,N,N,15.0,N,N,0.003,N,N,0.025,N,N,Y,0.5,N,Y,3121416.0,0.024,Y,0.0283,N,Y,0.0018,N,0.0212,N,0.0108,Y,0.8457,Y,0.0006,N,0.0039,Y
201911,서울특별시,443898,27985,47219,7.6,56.0,6.1,12.9,3.1,2.2,40.0,N,N,20.0,N,N,0.004,N,N,0.034,N,Y,Y,0.6,N,Y,3122433.0,0.0273,Y,0.0218,N,N,0.0017,N,0.0226,N,0.0045,Y,0.8062,Y,0.0004,N,0.0033,N
201912,서울특별시,482644,27585,49708,1.4,58.0,4.2,5.3,-2.6,2.1,42.0,Y,N,28.0,Y,N,0.004,N,N,0.035,N,Y,Y,0.7,N,Y,3124157.0,0.0268,Y,0.0422,N,Y,0.0027,N,0.027,N,0.005,Y,0.72,Y,0.0012,Y,0.0031,N
202001,서울특별시,443273,27993,43851,1.6,55.0,3.9,5.9,-1.7,2.1,42.0,Y,N,29.0,Y,N,0.004,N,N,0.034,N,Y,Y,0.7,N,Y,3127566.0,0.0143,N,0.0301,N,Y,0.0014,N,0.0122,N,0.0054,Y,0.4164,N,0.0008,N,0.0028,N
202002,서울특별시,245854,24672,28449,2.5,58.0,4.6,7.2,-1.3,2.3,41.0,N,N,28.0,Y,N,0.003,N,N,0.032,N,Y,Y,0.6,N,Y,3123984.0,0.0345,Y,0.0309,N,Y,0.0019,N,0.0257,N,0.0048,Y,0.8462,Y,0.0011,Y,0.0036,Y
202003,서울특별시,164599,27378,20793,7.7,46.0,4.8,13.3,2.6,2.5,45.0,Y,N,25.0,Y,N,0.003,N,N,0.027,N,N,Y,0.5,N,Y,3125333.0,0.0142,N,0.0295,N,Y,0.0013,N,0.018,N,0.0051,Y,0.4271,N,0.0008,N,0.0019,N
