날짜,이름,측정망 정보,아황산가스 농도,일산화탄소 농도,오존 농도,이산화질소 농도,미세먼지(PM10) 농도,초미세먼지(PM2.5) 농도
2023-11-29 09:00,식사동,도시대기,0.005,0.4,0.014,0.030,25,11
2023-11-29 09:00,주엽동,도시대기,0.003,0.4,0.009,0.028,14,2
2023-11-28 11:00,과천동,도시대기,-,-,-,-,-,-
2023-11-29 09:00,교문동,도시대기,0.001,0.5,0.006,0.036,23,14
2023-11-29 09:00,금곡동,도시대기,0.003,0.4,0.006,0.034,22,7
2023-11-29 09:00,오산동,도시대기,0.002,0.4,0.006,0.036,26,6
2023-11-29 09:00,대야동,도시대기,0.004,0.6,0.004,0.044,29,11
2023-11-29 09:00,당동,도시대기,0.004,0.5,0.004,0.048,31,7
2023-11-29 09:00,고천동,도시대기,0.001,0.5,0.002,0.045,23,10
2023-11-29 09:00,미사,도시대기,0.002,0.3,0.011,0.024,19,8
2023-11-29 09:00,김량장동,도시대기,0.002,0.6,0.003,0.031,27,14
2023-11-29 09:00,기흥,도시대기,0.003,0.6,0.006,0.034,15,3
2023-11-29 09:00,수지,도시대기,0.002,0.5,0.006,0.034,17,7
2023-11-29 09:00,금촌동,도시대기,0.004,0.7,0.006,0.026,15,8
2023-11-29 09:00,부발읍,도시대기,0.004,0.4,0.003,0.040,42,17
2023-11-29 09:00,공도읍,도시대기,0.002,0.5,0.003,0.030,18,13
2023-11-29 09:00,고촌읍,도시대기,0.004,0.4,0.003,0.023,20,9
2023-11-29 09:00,남양읍,도시대기,0.004,0.4,0.007,0.030,41,11
2023-11-29 09:00,경안동,도시대기,0.002,0.5,0.004,0.038,23,7
2023-11-29 09:00,고읍,도시대기,0.003,0.4,0.014,0.037,16,8
2023-11-29 09:00,선단동,도시대기,0.003,0.6,0.005,0.037,28,16
2023-11-29 09:00,가남읍,도시대기,0.003,0.4,0.007,0.023,66,25
2023-11-29 09:00,연천,도시대기,0.002,0.4,0.011,0.009,19,8
2023-11-29 09:00,가평,도시대기,0.002,0.5,0.008,0.022,13,9
2023-11-29 09:00,양평읍,도시대기,0.002,0.5,0.006,0.027,40,11
2023-11-29 09:00,가덕면,도시대기,0.001,0.5,0.011,0.016,27,21
2023-11-29 09:00,산남동,도시대기,0.002,0.5,0.005,0.032,33,26
2023-11-29 09:00,송정동(봉명동),도시대기,0.002,0.6,0.004,0.035,32,17
2023-11-29 09:00,사천동,도시대기,0.003,0.7,0.003,0.028,46,37
2023-11-29 09:00,살미면,도시대기,0.002,0.9,0.008,0.017,20,14
2023-11-29 09:00,영천동,도시대기,0.004,0.8,0.004,0.037,44,20
2023-11-29 09:00,보은읍,도시대기,0.002,0.4,0.009,0.018,35,22
2023-11-29 09:00,옥천읍,도시대기,0.002,0.5,0.004,0.030,25,18
2023-11-29 09:00,영동읍,도시대기,0.002,0.5,0.017,0.016,28,22
2023-11-29 09:00,도안면,도시대기,-,-,-,-,-,-
2023-11-29 09:00,덕산읍,도시대기,0.002,0.2,0.017,0.010,16,9
2023-11-29 09:00,감물면,도시대기,0.003,0.3,0.006,0.015,14,-
2023-11-29 09:00,소이면,도시대기,0.001,0.3,0.013,0.011,31,21
2023-11-29 09:00,단성면,도시대기,0.004,0.3,0.027,0.011,20,8
2023-11-29 09:00,성황동,도시대기,0.003,0.4,0.008,0.034,24,14
2023-11-29 09:00,백석동,도시대기,0.003,0.4,0.007,0.033,28,11
2023-11-29 09:00,공주,도시대기,0.003,0.4,0.007,0.026,29,19
2023-11-29 09:00,대천2동,도시대기,0.002,0.4,0.018,0.015,17,17
2023-11-29 09:00,도고면,도시대기,0.003,0.4,0.011,0.015,30,20
2023-11-29 09:00,대산리,도시대기,0.005,0.5,0.019,0.023,33,14
2023-11-29 09:00,논산,도시대기,0.003,0.4,0.011,0.021,24,4
2023-11-29 09:00,엄사면,도시대기,0.003,0.4,0.008,0.032,33,21
2023-11-29 09:00,당진시청사,도시대기,0.003,0.3,0.018,0.018,20,5
2023-11-29 09:00,금산읍,도시대기,0.003,0.4,0.018,0.022,31,22
2023-11-29 09:00,부여읍,도시대기,0.002,0.8,0.006,0.019,22,-
2023-11-29 09:00,서면,도시대기,0.002,0.5,0.010,0.013,26,22
2023-11-29 09:00,정산면,도시대기,0.004,0.6,0.010,0.015,38,28
2023-11-29 09:00,내포,도시대기,0.003,0.4,0.025,0.010,14,6
2023-11-29 09:00,고덕면(충남),도시대기,0.003,0.4,0.009,0.018,42,13
2023-11-29 09:00,원북면,도시대기,0.003,0.5,0.011,0.022,24,15
2023-11-29 09:00,노송동,도시대기,0.002,0.5,0.003,0.024,34,15
2023-11-29 09:00,송천동,도시대기,0.002,0.4,0.008,0.021,33,9
2023-11-29 09:00,비응도동,도시대기,0.004,0.4,0.007,0.020,57,34
2023-11-29 09:00,모현동,도시대기,0.002,0.5,0.009,0.017,42,31
2023-11-29 09:00,신태인,도시대기,0.003,0.4,0.006,0.018,32,22
2023-11-29 09:00,운봉읍,도시대기,0.002,0.3,0.026,0.006,38,33
2023-11-29 09:00,광활면,도시대기,0.002,0.4,0.014,0.013,29,24
2023-11-29 09:00,고산면,도시대기,0.001,0.5,0.015,0.010,32,26
2023-11-29 09:00,진안읍,도시대기,0.002,0.4,0.005,0.017,24,20
2023-11-29 09:00,무주읍,도시대기,0.002,0.3,0.019,0.009,22,18
2023-11-29 09:00,관촌면,도시대기,0.002,0.5,0.003,0.014,27,22
2023-11-29 09:00,순창읍,도시대기,0.003,0.4,0.002,0.016,21,15
2023-11-29 09:00,고창읍,도시대기,0.002,0.4,0.011,0.006,33,17
2023-11-29 09:00,계화면,도시대기,0.002,0.4,0.013,0.012,36,23
2023-11-29 09:00,부흥동,도시대기,0.003,0.6,0.009,0.025,26,13
2023-11-29 09:00,덕충동,도시대기,0.005,0.6,0.016,0.029,29,21
2023-11-29 09:00,순천만,도시대기,0.001,0.4,0.013,0.015,18,13
2023-11-29 09:00,빛가람동,도시대기,0.003,0.4,0.003,0.019,30,7
2023-11-29 09:00,광양읍,도시대기,0.003,0.6,0.006,0.026,24,17
2023-11-29 09:00,담양읍,도시대기,0.002,0.3,0.006,0.014,33,16
2023-11-29 09:00,곡성읍,도시대기,0.002,0.5,0.008,0.011,28,14
2023-11-29 09:00,구례읍,도시대기,0.002,0.5,0.005,0.014,18,11
2023-11-29 09:00,고흥읍,도시대기,0.003,1.0,0.004,0.018,30,10
2023-11-29 09:00,벌교읍,도시대기,0.003,0.3,0.009,0.014,24,14
2023-11-29 09:00,화순읍,도시대기,0.003,0.4,0.004,0.014,25,18
2023-11-29 09:00,장흥읍,도시대기,0.001,0.3,0.007,0.014,20,10
