"구분","항목","단위","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월",
"보령시","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0034",".0026",".0121",".004",".007",".0007","N.D.",".0041",".0011",".0034",".0021",".008",".0017",".0037",".0039",".0013",".0033",".0005",".0039",".0026",".0026",".0035",".0028",".0068",".00936",".02622",
"삼천동","As","","","","","","","","",".0051",".0023",".0016",".0022",".0019",".0031",".0012",".002",".0025",".0033",".0023",".0029",".0003",".0024",".0013",".0113",".0027",".0029",".0029",".0028",".0041",".0009",".0012",".0016",".0008",".0013",".0015",".0016",".0025",".0023",".001",".001",".0031",".0019",".0013",".0011",".0005",".0006",".0012",".0017",".0018",".0017",".0026",".002","",".0024",".0012",".0011",".0021",".0032",".0032",".0042",".0012",".0098",".0056",".0121","",".0028",".0022",".0002",".0002",".0001",".0007",".0009",".0002",".0005",".0006",".0078",".0031",".0017",".0012",".0011",".001",".0009",".0038",".0045",".0023",".0025",".0019",".0021",".0031",".0017",".0033",".0015",".0007",".0015",".0034",".0052",".0044",".0025",".0021",".0048",".0013",".0023",".0015",".0004",".0012",".001",".0024",".002",".0021",".0028",".0026",".0021",".0021",".0034",".0007",".003",".0032",".0019",".0016",".0014",".0078",".00784",".00528",
"팔봉동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".01298",".00774",
"여천동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0025",".0045",".0036",".0036",".0028",".001",".0029",".0045",".0016",".0052",".0023",".0018",".0017",".0017",".0015",".0035","",".001",".0018",".0001",".002",".0009",".0021",".0007",".0027","N.D.",".0038",".0028",".0028",".0013",".0013",".0022",".0008",".0027",".0017",".003",".001",".0017",".0011","N.D.",".0012",".0011",".0005",".0004",".0012",".0019",".0007",".0013",".001",".0004",".0009",".0013",".0012",".0028",".0016",".0001",".0016",".0027",".0033",".0014",".0026",".0011","-","-","-","-",".0002",".0009",".0007",".0005",".0003",".0011",".0019",".0019",".0008",".0006",".0053",".0006",".0016",".0005",".0025",".0007",".0021",".0022",".00432",".00508",
"쌍봉동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0025",".0045",".0044",".0037",".0026",".0015",".0028",".0048",".0014",".0043",".0021",".0016",".0014",".0018",".0013",".0106","",".0011",".0016",".0002",".002",".0011",".0007",".0007",".0028","N.D.",".0042",".0029",".0006",".0015",".0012",".0023",".0011",".0016",".0018",".0107",".001",".0018",".0009","N.D.",".0012",".0013",".0005",".0005",".0014",".0021",".001",".0013",".001",".0003",".0009",".0016",".0011",".0027",".0014",".0001",".0013",".0034",".0039",".0016",".0025",".0012",".0011",".0019","N.D.",".0004",".0003",".0724",".0012",".0004",".0002",".0007",".0017",".0019",".0008",".0006",".0058",".0006",".0016",".0004",".0018",".0009",".0023",".0024",".0043",".00492",
"묘도동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0012",".0004",".0013",".0031",".0006",".001",".0007",".0778",".0006",".0019",".0005",".0025",".0013",".0019",".0028",".0035",".0052",
"율촌면","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0023",".0041",".003",".0031",".003",".0019",".003",".0045",".0009",".0041",".0022",".002",".0019",".0015",".0013",".0099","",".001",".0003","N.D.",".0015",".0007",".0011",".0008",".0022","N.D.",".0042",".003",".0008",".0012",".001",".0027",".0005",".0029",".0008",".0035",".001",".0012",".0013","N.D.",".001",".0016",".0005",".0005",".0009",".0016",".0008",".0014",".0011",".0005",".0009",".0017",".0014",".0029",".0018",".0001",".0014",".0025",".0027",".0012",".0026",".001",".0008",".0016","N.D.",".0012",".0006",".0012",".0006",".0006",".0003",".0035",".0018",".0015",".0008",".0013",".0048",".0007",".0017",".0004",".0022",".0007",".0022",".0026",".00522",".00442",
"중동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0002","","","","","","","","","","","","","","","",
"중동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0002","",".0009",".0014",".002",".002",".0005",".0038",".0005",".0014",".0005",".0023",".001",".0025",".0031",".0044",".00554",
"신대리","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".002",".0013",".001",".0004",".0043",".0009",".0018",".0003",".0021",".0009",".0018",".0025",".00624",".0052",
"대불","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0011",".0025",".002","N.D.","N.D.",".0004",".0019",".0016",".0008",".0015",".0035",".0024",".0034",".0012",".0027",".0084",".001",".0019",".0008",".004",".0024",".0028",".005",".00884",".0161",
"장흥동","As","","","","","","","","",".0009",".001",".0004",".0006",".0003",".0005",".0011",".001",".0014",".0014",".0014",".0015",".0013",".0012",".0003",".0023",".0007",".0008",".0005","",".0011",".0007",".0009",".0004",".0006",".0009",".0006",".0005",".0009",".0003",".0003",".0006",".0003",".0011",".0017",".0006",".0009",".0004",".0001",".0001",".0005",".0003",".0004",".0005",".0004",".0006",".0009",".0008",".0003",".0006",".0012",".0002","N.D.",".0012",".0035",".0021",".0057",".0033",".0073",".0048",".0018",".0031","",".0047",".004",".0038",".0041",".0048",".0033",".0036",".0094",".005",".0026",".0029",".0034",".0057",".0033",".0018",".0022",".0027",".0039",".0044",".0067",".0033",".0016",".0029",".0062",".007",".0032",".0032",".0031",".0078",".0077",".0186",".0058",".0033",".003",".003",".005",".0012",".0029",".0024",".0062",".0076",".0033",".0102",".002",".0029",".002",".0032",".0023",".004",".0028",".00512",".01464",
"장량동","As","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0003",".0002",".0005",".0002","",".0013",".0002",".0007",".0002","N.D.",".0002",".0005",".0003",".0004",".0005",".0003","",".0006",".0006","",".0006",".001","N.D.","N.D.",".0006",".0012","",".0045",".0026",".0082",".003","",".0052",".0032",".011",".0048",".0049",".0047",".0037",".0023",".0027",".0069",".0036",".0011",".0004",".0029",".0007",".002",".0021",".0011",".0018",".0027",".0016",".0065",".0018",".0003",".0016",".0066",".0061",".0032",".0027",".0028",".0077",".0036",".0043",".0047",".0009",".0018",".0041",".0003","0.0004**",".002",".0024",".0061",".0057",".0011",".0076",".0003",".0019",".0005",".0026",".0011",".0028",".002",".00486",".01074",
"죽도동","As","","","","","","","","",".0006",".0011",".0001",".0004",".0001",".0004",".0007",".0007",".001",".0008",".0005",".0012",".0011",".0007",".0001",".0011",".0003",".0004",".0003",".0002",".001",".0004",".0008",".0001",".0004",".0005",".0003",".0001",".0008","","","","","","","","","","","","","","","","",".0008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
