STD_YYYYMM,SIDO,비염환자수,아토피환자수,천식환자수,AVG_PM2.5,PM2_BAD,AVG_PM10,PM10_BAD,PM10_80BAD,AVG_일산화,일산화_9BAD,일산화_BAD,AVG_이산화,이산화_0.06BAD,이산화_0.03BAD,이산화_BAD,AVG_오존,오존_BAD,오존0.06_BAD,오존0.1_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_아황산,아황산_0.05BAD,아황산_BAD
202002,서울특별시,245854,24672,28449,28.0,N,41.0,N,N,0.6,N,Y,0.032,N,Y,Y,0.018,N,N,N,0.0309,N,Y,0.003,N,N
202003,서울특별시,164599,27378,20793,25.0,N,45.0,Y,N,0.5,N,Y,0.027,N,N,Y,0.027,N,N,N,0.0295,N,Y,0.003,N,N
202004,서울특별시,162136,31160,18388,21.0,N,44.0,Y,N,0.4,N,N,0.021,N,N,Y,0.036,Y,N,N,0.0205,N,N,0.003,N,N
202005,서울특별시,228549,34064,21441,19.0,N,35.0,N,N,0.4,N,N,0.02,N,N,Y,0.034,Y,N,N,0.0083,N,N,0.003,N,N
202006,서울특별시,167901,34921,17319,21.0,N,36.0,N,N,0.4,N,N,0.019,N,N,Y,0.044,Y,N,N,0.0215,N,N,0.003,N,N
202007,서울특별시,156401,30948,16072,13.0,N,21.0,N,N,0.4,N,N,0.016,N,N,N,0.031,Y,N,N,0.0137,N,N,0.002,N,N
202008,서울특별시,152151,32896,14708,14.0,N,23.0,N,N,0.3,N,N,0.014,N,N,N,0.019,N,N,N,0.0058,N,N,0.003,N,N
202009,서울특별시,258963,34539,19893,11.0,N,19.0,N,N,0.4,N,N,0.016,N,N,N,0.028,N,N,N,0.01,N,N,0.003,N,N
202010,서울특별시,236310,32210,19741,17.0,N,33.0,N,N,0.5,N,Y,0.025,N,N,Y,0.022,N,N,N,0.0159,N,N,0.003,N,N
202011,서울특별시,243282,28065,20944,24.0,N,42.0,Y,N,0.6,N,Y,0.03,N,N,Y,0.015,N,N,N,0.0347,N,Y,0.003,N,N
202012,서울특별시,155861,29475,16310,27.0,N,42.0,Y,N,0.6,N,Y,0.032,N,Y,Y,0.014,N,N,N,0.0364,N,Y,0.004,N,N
202101,서울특별시,123377,27367,13828,21.0,N,38.0,N,N,0.6,N,Y,0.031,N,Y,Y,0.015,N,N,N,0.0373,N,Y,0.004,N,N
202102,서울특별시,134079,27033,13276,29.0,N,48.0,Y,N,0.6,N,Y,0.03,N,N,Y,0.022,N,N,N,0.0297,N,Y,0.003,N,N
202103,서울특별시,257576,30940,21168,32.0,N,67.0,Y,N,0.5,N,Y,0.032,N,Y,Y,0.025,N,N,N,0.0476,N,Y,0.003,N,N
202104,서울특별시,297440,32548,24965,19.0,N,42.0,Y,N,0.4,N,N,0.022,N,N,Y,0.037,Y,N,N,0.0187,N,N,0.003,N,N
202105,서울특별시,178641,29776,19470,20.0,N,61.0,Y,N,0.4,N,N,0.019,N,N,Y,0.036,Y,N,N,0.0182,N,N,0.003,N,N
202106,서울특별시,155755,33623,16505,19.0,N,33.0,N,N,0.4,N,N,0.018,N,N,N,0.041,Y,N,N,0.0128,N,N,0.003,N,N
202107,서울특별시,138390,34765,13505,15.0,N,24.0,N,N,0.3,N,N,0.016,N,N,N,0.038,Y,N,N,0.0093,N,N,0.003,N,N
202108,서울특별시,147809,32585,13882,13.0,N,22.0,N,N,0.4,N,N,0.015,N,N,N,0.034,Y,N,N,0.0077,N,N,0.003,N,N
202109,서울특별시,273508,33145,19028,7.0,N,15.0,N,N,0.4,N,N,0.014,N,N,N,0.031,Y,N,N,0.0108,N,N,0.003,N,N
202110,서울특별시,269429,32807,21326,13.0,N,27.0,N,N,0.4,N,N,0.022,N,N,Y,0.022,N,N,N,0.0157,N,N,0.003,N,N
202111,서울특별시,329382,29857,26981,26.0,N,45.0,Y,N,0.6,N,Y,0.031,N,Y,Y,0.018,N,N,N,0.0122,N,N,0.003,N,N
202112,서울특별시,229472,30855,21553,23.0,N,39.0,N,N,0.6,N,Y,0.031,N,Y,Y,0.014,N,N,N,0.0208,N,N,0.003,N,N
202201,서울특별시,220172,31096,21092,29.0,N,43.0,Y,N,0.6,N,Y,0.032,N,Y,Y,0.016,N,N,N,0.0292,N,Y,0.004,N,N
202202,서울특별시,292038,28335,20156,26.0,N,40.0,N,N,0.5,N,Y,0.026,N,N,Y,0.026,N,N,N,0.0326,N,Y,0.003,N,N
202203,서울특별시,447418,28072,28921,21.0,N,41.0,N,N,0.5,N,Y,0.026,N,N,Y,0.028,N,N,N,0.0222,N,Y,0.003,N,N
202204,서울특별시,338365,35382,30116,22.0,N,45.0,Y,N,0.4,N,N,0.02,N,N,Y,0.043,Y,N,N,0.0089,N,N,0.003,N,N
202205,서울특별시,227446,34629,23675,17.0,N,33.0,N,N,0.4,N,N,0.015,N,N,N,0.049,Y,N,N,0.014,N,N,0.003,N,N
202206,서울특별시,190531,29624,21114,12.0,N,22.0,N,N,0.3,N,N,0.013,N,N,N,0.036,Y,N,N,0.0036,N,N,0.002,N,N
202207,서울특별시,255667,33440,21321,16.0,N,25.0,N,N,0.3,N,N,0.014,N,N,N,0.037,Y,N,N,0.0105,N,N,0.003,N,N
202208,서울특별시,271959,33922,22114,11.0,N,20.0,N,N,0.3,N,N,0.013,N,N,N,0.03,Y,N,N,0.0179,N,N,0.003,N,N
202209,서울특별시,339438,32274,28388,11.0,N,22.0,N,N,0.4,N,N,0.016,N,N,N,0.031,Y,N,N,0.0084,N,N,0.003,N,N
202210,서울특별시,356819,29773,29660,14.0,N,25.0,N,N,0.4,N,N,0.02,N,N,Y,0.023,N,N,N,0.0132,N,N,0.003,N,N
202211,서울특별시,338294,28007,26634,22.0,N,39.0,N,N,0.5,N,Y,0.028,N,N,Y,0.018,N,N,N,0.0228,N,Y,0.003,N,N
202212,서울특별시,365991,29879,24931,19.0,N,38.0,N,N,0.5,N,Y,0.028,N,N,Y,0.015,N,N,N,0.0276,N,Y,0.003,N,N
201501,부산광역시,146991,6638,20020,27.0,N,47.0,Y,N,0.4,N,N,0.022,N,N,Y,0.02,N,N,N,0.0255,N,Y,0.007,N,Y
201502,부산광역시,163803,5969,21126,31.0,N,63.0,Y,N,0.4,N,N,0.02,N,N,Y,0.026,N,N,N,0.0245,N,Y,0.007,N,Y
201503,부산광역시,180525,7367,23744,27.0,N,56.0,Y,N,0.4,N,N,0.021,N,N,Y,0.032,Y,N,N,0.0208,N,N,0.008,N,Y
201504,부산광역시,156244,6654,23235,24.0,N,48.0,Y,N,0.4,N,N,0.019,N,N,Y,0.036,Y,N,N,0.0234,N,Y,0.008,N,Y
201505,부산광역시,124549,7698,20148,31.0,N,56.0,Y,N,0.4,N,N,0.025,N,N,Y,0.038,Y,N,N,0.0235,N,Y,0.009,N,Y
201506,부산광역시,86503,6427,13812,30.0,N,49.0,Y,N,0.3,N,N,0.019,N,N,Y,0.036,Y,N,N,0.0248,N,Y,0.008,N,Y
201507,부산광역시,77125,8643,11611,21.0,N,,N,N,,N,N,0.016,N,N,N,0.028,N,N,N,0.0437,N,Y,,N,N
201508,부산광역시,89841,8359,13937,23.0,N,,N,N,0.3,N,N,0.018,N,N,N,0.033,Y,N,N,0.0186,N,N,0.006,N,Y
201509,부산광역시,172899,6502,20438,16.0,N,,N,N,0.3,N,N,0.015,N,N,N,0.031,Y,N,N,0.0079,N,N,0.005,N,Y
201510,부산광역시,168912,6864,21699,25.0,N,,N,N,0.4,N,N,0.021,N,N,Y,0.028,N,N,N,0.0271,N,Y,0.005,N,Y
201511,부산광역시,148416,5864,21044,23.0,N,33.0,N,N,0.4,N,N,0.023,N,N,Y,0.02,N,N,N,0.0103,N,N,0.005,N,Y
201512,부산광역시,191416,6270,25615,29.0,N,41.0,N,N,0.5,N,Y,0.025,N,N,Y,0.018,N,N,N,0.018,N,N,0.005,N,Y
201601,부산광역시,172146,6553,19544,33.0,N,45.0,Y,N,0.5,N,Y,0.024,N,N,Y,0.022,N,N,N,0.0206,N,N,0.005,N,Y
201602,부산광역시,173608,6050,22460,29.0,N,46.0,Y,N,0.4,N,N,0.023,N,N,Y,0.027,N,N,N,0.0166,N,N,0.006,N,Y
201603,부산광역시,168569,6694,22980,32.0,N,52.0,Y,N,0.4,N,N,0.026,N,N,Y,0.031,Y,N,N,0.0208,N,N,0.006,N,Y
201604,부산광역시,149648,6663,22052,29.0,N,60.0,Y,N,0.4,N,N,0.024,N,N,Y,0.038,Y,N,N,0.0157,N,N,0.006,N,Y
201605,부산광역시,115354,7606,18437,31.0,N,53.0,Y,N,0.4,N,N,0.023,N,N,Y,0.045,Y,N,N,0.027,N,Y,0.007,N,Y
201606,부산광역시,89022,7749,13851,27.0,N,39.0,N,N,0.4,N,N,0.019,N,N,Y,0.036,Y,N,N,0.0253,N,Y,0.006,N,Y
201607,부산광역시,87799,8447,11764,17.0,N,29.0,N,N,0.3,N,N,0.017,N,N,N,0.025,N,N,N,0.0139,N,N,0.006,N,Y
201608,부산광역시,103488,8434,13180,21.0,N,36.0,N,N,0.4,N,N,0.015,N,N,N,0.036,Y,N,N,0.0216,N,N,0.005,N,Y
