STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM
200602,대구광역시,1,0,59,56279
200603,대구광역시,1,0,64,72627
200604,대구광역시,1,0,69,76801
200605,대구광역시,1,0,63,53251
200606,대구광역시,1,0,60,39650
200607,대구광역시,1,0,45,34478
200608,대구광역시,1,0,33,39486
200609,대구광역시,1,0,88,101316
200610,대구광역시,1,0,63,56952
200611,대구광역시,1,0,66,77069
200612,대구광역시,1,0,63,73102
200701,대구광역시,1,0,67,80221
200702,대구광역시,1,0,62,54582
200703,대구광역시,1,0,93,69682
200704,대구광역시,1,0,80,72269
200705,대구광역시,1,0,72,55061
200706,대구광역시,1,0,63,38457
200707,대구광역시,1,0,50,40306
200708,대구광역시,1,0,47,39302
200709,대구광역시,1,0,104,93513
200710,대구광역시,1,0,104,86698
200711,대구광역시,1,0,96,86972
200712,대구광역시,1,0,79,88012
200801,대구광역시,1,0,74,89338
200802,대구광역시,1,0,85,84886
200803,대구광역시,1,0,115,86510
200804,대구광역시,1,0,105,85631
200805,대구광역시,1,0,94,68287
200806,대구광역시,1,0,71,49139
200807,대구광역시,1,0,44,36442
200808,대구광역시,1,0,60,49639
200809,대구광역시,1,0,95,92708
200810,대구광역시,1,0,126,87786
200811,대구광역시,1,0,95,84337
200812,대구광역시,1,0,109,121612
200901,대구광역시,1,0,73,83513
200902,대구광역시,1,0,97,57051
200903,대구광역시,1,0,118,84660
200904,대구광역시,1,0,121,104776
200905,대구광역시,1,0,104,74454
200906,대구광역시,1,0,94,56093
200907,대구광역시,1,0,60,50585
200908,대구광역시,1,0,103,77497
200909,대구광역시,1,0,122,120403
200910,대구광역시,1,0,115,130720
200911,대구광역시,1,0,105,100267
200912,대구광역시,1,0,116,104397
201001,대구광역시,1,0,99,96970
201002,대구광역시,1,0,101,82525
201003,대구광역시,1,0,142,104185
201004,대구광역시,1,0,150,117510
201005,대구광역시,1,0,91,87881
201006,대구광역시,1,0,80,59522
201007,대구광역시,1,0,73,50837
201008,대구광역시,1,0,66,52740
201009,대구광역시,1,0,136,131998
201010,대구광역시,1,0,125,116454
201011,대구광역시,1,0,107,103465
201012,대구광역시,1,0,110,115198
201101,대구광역시,1,0,91,91810
201102,대구광역시,1,0,93,77652
201103,대구광역시,1,0,130,116444
201104,대구광역시,1,0,126,108573
201105,대구광역시,1,0,105,81107
201106,대구광역시,1,0,93,58176
201107,대구광역시,1,0,62,50242
201108,대구광역시,1,0,99,73169
201109,대구광역시,1,0,129,130745
201110,대구광역시,1,0,129,109031
201111,대구광역시,1,0,93,104801
201112,대구광역시,1,0,129,134452
201201,대구광역시,1,0,126,110084
201202,대구광역시,1,0,126,122603
201203,대구광역시,1,0,139,119092
201204,대구광역시,1,0,109,112521
201205,대구광역시,1,0,100,86027
201206,대구광역시,1,0,90,57159
201207,대구광역시,1,0,88,53717
201208,대구광역시,1,0,82,59287
201209,대구광역시,1,0,217,133143
201210,대구광역시,1,0,167,127509
201211,대구광역시,1,0,144,103688
201212,대구광역시,1,0,94,92125
201301,대구광역시,1,0,96,103310
201302,대구광역시,1,0,114,115364
201303,대구광역시,1,0,138,125994
201304,대구광역시,1,0,126,111474
201305,대구광역시,1,0,112,80717
201306,대구광역시,1,0,111,54002
201307,대구광역시,1,0,106,56060
201308,대구광역시,1,0,118,67307
201309,대구광역시,1,0,222,137895
201310,대구광역시,1,0,186,119204
201311,대구광역시,1,0,150,113165
201312,대구광역시,1,0,120,102356
201401,대구광역시,1,0,128,121171
201402,대구광역시,1,0,149,141292
201403,대구광역시,1,0,177,111215
201404,대구광역시,1,0,164,123063
201405,대구광역시,1,0,126,82874
201406,대구광역시,1,0,104,60140
201407,대구광역시,1,0,137,67211
201408,대구광역시,1,0,149,72438
201409,대구광역시,1,0,204,130624
201410,대구광역시,1,0,205,121139
