,index,지역명,측정소명,주소,운영기관,설치년도,위도,경도,구
83,173,강원,인제읍,강원특별자치도 인제군 인제읍 비봉로44번길 93 인제군기상관측소,강원특별자치도보건환경연구원,2019.0,,,인제군
84,174,강원,정선읍,강원특별자치도 정선군 정선읍 정선로 1331 정선읍행정복지센터 옥상,강원특별자치도보건환경연구원,2018.0,37.3797750286128,128.661697787512,정선군
85,179,강원,천곡동,강원특별자치도 동해시 천곡로 77(천곡동 806) 동해시의회 2층 옥상,강원특별자치도보건환경연구원,1996.0,37.5247160363066,129.114353204532,동해시
86,180,강원,평창읍,강원특별자치도 평창군 평창읍 종부로 61(종부리 504) 평창군보건의료원 2층 옥상,강원특별자치도보건환경연구원,2017.0,37.3604916716915,128.388851223242,평창군
87,181,강원,홍천읍,강원특별자치도 홍천군 홍천읍 연봉동로 27 홍천기상관측소,강원특별자치도보건환경연구원,2018.0,37.683782946675,127.880269766999,홍천군
88,182,강원,화천읍,강원특별자치도 화천군 화천읍 화천새싹길 45 건설방재과 옥상,강원특별자치도보건환경연구원,2018.0,38.1056206855251,127.707927506573,화천군
89,183,강원,황지동,강원특별자치도 태백시 태붐로 21 태백시청 부지 내 지상 (황지동),강원특별자치도보건환경연구원,2018.0,37.1642386319421,128.98655047266,태백시
90,185,충남,고덕면(충남),충청남도 예산군 고덕면 예당산단4길 147 예당일반산업단지 폐수처리장 내,충청남도보건환경연구원,2023.0,36.7626221960546,126.730241242245,예산군
91,186,충남,공주,충남 공주시 봉황로 1 (공주시의회 옥상),충청남도보건환경연구원,2017.0,36.4461617427402,127.119069274839,공주시
92,187,충남,금산읍,충남 금산군 금산읍 비호로 69 금산읍사무소 별관 1층 옥상,충청남도보건환경연구원,2017.0,36.1071626829957,127.490899426272,금산군
93,188,충남,내포,충청남도 홍성군 홍북읍 홍예공원로 8 충남보건환경연구원 부지내 1층,충청남도보건환경연구원,2019.0,36.6535486142166,126.667241040584,홍성군
94,189,충남,논산,충남 논산시 시민로 389 (취암/부창동 행정복지센터 2층 옥상),충청남도보건환경연구원,2017.0,36.1996245149014,127.087049426887,논산시
95,190,충남,당진시청사,충남 당진시 시청1로 1 당진시청사,충청남도보건환경연구원,2017.0,36.8897414295142,126.645971032203,당진시
96,191,충남,대산리,충청남도 서산시 대산읍 충의로 1942 대산종합시장 옥상,충청남도보건환경연구원,2018.0,36.9380045428536,126.433942856052,서산시
97,192,충남,대천2동,충남 보령시 중앙로 142-16 (대천2동 주민센터 옥상),충청남도보건환경연구원,2017.0,36.3534104877207,126.589782017619,보령시
98,193,충남,도고면,충남 아산시 도고면 기곡리 296-4 기곡1리 마을회관 지상,충청남도보건환경연구원,2018.0,36.7625241696908,126.888727723074,아산시
99,199,충남,백석동,충청남도 천안시 서북구 음봉로 861-50 한들문화센터 (백석동),충청남도보건환경연구원,2023.0,36.828034199931,127.104606412951,천안시서북구
100,200,충남,부여읍,충남 부여군 부여읍 사비로 36 (부여읍행정복지센터 옥상),충청남도보건환경연구원,2017.0,36.2755521716287,126.911170289082,부여군
101,202,충남,서면,충남 서천군 서면 서인로 761 서면보건지소옥상,충청남도보건환경연구원,2017.0,36.1529161979613,126.549264731833,서천군
102,207,충남,성황동,충남 천안시 동남구 복자1길 24 문성어린이집 문성시립보육시설 옥상,충청남도보건환경연구원,2007.0,36.8142212551557,127.152127271022,천안시동남구
103,211,충남,엄사면,충청남도 계룡시 엄사면 번영7길 17 엄사도서관 옥상,충청남도보건환경연구원,2017.0,36.2870084464795,127.237920729471,계룡시
104,214,충남,원북면,충청남도 태안군 원북면 상리길 17-4 원북면 보건지소 옥상,충청남도보건환경연구원,2020.0,36.8242532752412,126.257180692086,태안군
105,218,충남,정산면,충청남도 청양군 정산면 칠갑산로 1861 정산커뮤니티센터,충청남도보건환경연구원,2020.0,36.4149972873666,126.94558748859,청양군
106,225,대전,관평동,대전광역시 유성구 테크노중앙로 88 동화울수변공원 내 (관평동),대전광역시보건환경연구원,2020.0,36.424396628209,127.39409910873,유성구
107,231,대전,문평동,대전 대덕구 문평동로 18번길 34(문평동 119안전센터) 문평동 119안전센터,대전광역시보건환경연구원,2002.0,36.4469173628791,127.404715940285,대덕구
108,236,충북,가덕면,충청북도 청주시 상당구 가덕면 보청대로 4650 가덕면사무소 앞쪽 부지,충청북도보건환경연구원,,36.5533586809667,127.548272697254,청주시상당구
109,237,충북,감물면,충청북도 괴산군 감물면 충민로신대길 13 감물면사무소 지상,충청북도보건환경연구원,,36.8367058223805,127.87497780042,괴산군
110,239,충북,단성면,충북 단양군 단성면 충혼로 52-1 단성보건지소 주차장(지면),충청북도보건환경연구원,2019.0,36.9391593936121,128.320841053443,단양군
111,241,충북,덕산읍,충청북도 진천군 덕산읍 대월로 90 혁신도시공원 관리사무소 옥상,충청북도보건환경연구원,,36.901902923896,127.539094201119,진천군
112,242,충북,도안면,충청북도 증평군 도안면 문화마을길 8 도안면사무소 옥상,충청북도보건환경연구원,2018.0,36.8135539598175,127.612662692139,증평군
113,244,충북,보은읍,충청북도 보은군 보은읍 이평리 244 보은군 스포츠파크,충청북도보건환경연구원,2018.0,36.4841550475739,127.731072970116,보은군
114,245,충북,사천동,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층) 청주청원도서관 옥상",충청북도보건환경연구원,1994.0,36.6662491019072,127.475012190031,청주시청원구
115,246,충북,산남동,충청북도 청주시 서원구 원흥로 81 청주지방법원 옆 주차장 지상 (산남동),충청북도보건환경연구원,2018.0,36.6132585639013,127.468769324403,청주시서원구
116,247,충북,살미면,충청북도 충주시 살미면 세성양지말길 41 살미면 행정복지센터 주차장 옆,충청북도보건환경연구원,,36.905423676216,127.964469546958,충주시
117,248,충북,소이면,충청북도 음성군 소이면 소이로 409 소이면전천후게이트볼장 공터,충청북도보건환경연구원,,36.9236503828895,127.757650724566,음성군
